date,location,vaccine,total_vaccinations
2020-12-27,Germany,Pfizer/BioNTech,24355
2020-12-28,Germany,Pfizer/BioNTech,42442
2020-12-29,Germany,Pfizer/BioNTech,93136
2020-12-30,Germany,Pfizer/BioNTech,157246
2020-12-31,Germany,Pfizer/BioNTech,207249
2021-01-01,Germany,Pfizer/BioNTech,232822
2021-01-02,Germany,Pfizer/BioNTech,280899
2021-01-03,Germany,Pfizer/BioNTech,303460
2021-01-04,Germany,Pfizer/BioNTech,349612
2021-01-05,Germany,Pfizer/BioNTech,402312
2021-01-06,Germany,Pfizer/BioNTech,465465
2021-01-07,Germany,Pfizer/BioNTech,520254
2021-01-08,Germany,Pfizer/BioNTech,583024
2021-01-09,Germany,Pfizer/BioNTech,643757
2021-01-10,Germany,Pfizer/BioNTech,679735
2021-01-11,Germany,Pfizer/BioNTech,748162
2021-01-12,Germany,Pfizer/BioNTech,827291
2021-01-13,Germany,Pfizer/BioNTech,938287
2021-01-14,Germany,Pfizer/BioNTech,1017243
2021-01-15,Germany,Pfizer/BioNTech,1103743
2021-01-16,Germany,Pfizer/BioNTech,1160129
2021-01-17,Germany,Pfizer/BioNTech,1206668
2021-01-18,Germany,Pfizer/BioNTech,1285410
2021-01-19,Germany,Pfizer/BioNTech,1401392
2021-01-20,Germany,Pfizer/BioNTech,1531311
2021-01-21,Germany,Pfizer/BioNTech,1634027
2021-01-22,Germany,Pfizer/BioNTech,1734156
2021-01-23,Germany,Pfizer/BioNTech,1820846
2021-01-24,Germany,Pfizer/BioNTech,1868459
2021-01-25,Germany,Pfizer/BioNTech,1958024
2021-01-26,Germany,Pfizer/BioNTech,2055106
2021-01-27,Germany,Pfizer/BioNTech,2162757
2021-01-28,Germany,Pfizer/BioNTech,2253677
2021-01-29,Germany,Pfizer/BioNTech,2359863
2021-01-30,Germany,Pfizer/BioNTech,2447085
2021-01-31,Germany,Pfizer/BioNTech,2503929
2021-02-01,Germany,Pfizer/BioNTech,2622017
2021-02-02,Germany,Pfizer/BioNTech,2751705
2021-02-03,Germany,Pfizer/BioNTech,2908321
2021-02-04,Germany,Pfizer/BioNTech,3037025
2021-02-05,Germany,Pfizer/BioNTech,3178120
2021-02-06,Germany,Pfizer/BioNTech,3269691
2021-02-07,Germany,Pfizer/BioNTech,3320924
2021-02-08,Germany,Pfizer/BioNTech,3426559
2021-02-09,Germany,Pfizer/BioNTech,3557680
2021-02-10,Germany,Pfizer/BioNTech,3700530
2021-02-11,Germany,Pfizer/BioNTech,3821386
