date,vaccine,total_vaccinations,location
2021-02-26,Johnson&Johnson,0,South Korea
2021-02-26,Moderna,0,South Korea
2021-02-26,Oxford/AstraZeneca,20307,South Korea
2021-02-26,Pfizer/BioNTech,0,South Korea
2021-02-27,Johnson&Johnson,0,South Korea
2021-02-27,Moderna,0,South Korea
2021-02-27,Oxford/AstraZeneca,21413,South Korea
2021-02-27,Pfizer/BioNTech,318,South Korea
2021-02-28,Johnson&Johnson,0,South Korea
2021-02-28,Moderna,0,South Korea
2021-02-28,Oxford/AstraZeneca,21990,South Korea
2021-02-28,Pfizer/BioNTech,605,South Korea
2021-03-01,Johnson&Johnson,0,South Korea
2021-03-01,Moderna,0,South Korea
2021-03-01,Oxford/AstraZeneca,23172,South Korea
2021-03-01,Pfizer/BioNTech,898,South Korea
2021-03-02,Johnson&Johnson,0,South Korea
2021-03-02,Moderna,0,South Korea
2021-03-02,Oxford/AstraZeneca,88957,South Korea
2021-03-02,Pfizer/BioNTech,1527,South Korea
2021-03-03,Johnson&Johnson,0,South Korea
2021-03-03,Moderna,0,South Korea
2021-03-03,Oxford/AstraZeneca,157173,South Korea
2021-03-03,Pfizer/BioNTech,2747,South Korea
2021-03-04,Johnson&Johnson,0,South Korea
2021-03-04,Moderna,0,South Korea
2021-03-04,Oxford/AstraZeneca,226346,South Korea
2021-03-04,Pfizer/BioNTech,3914,South Korea
2021-03-05,Johnson&Johnson,0,South Korea
2021-03-05,Moderna,0,South Korea
2021-03-05,Oxford/AstraZeneca,295408,South Korea
2021-03-05,Pfizer/BioNTech,5309,South Korea
2021-03-06,Johnson&Johnson,0,South Korea
2021-03-06,Moderna,0,South Korea
2021-03-06,Oxford/AstraZeneca,313416,South Korea
2021-03-06,Pfizer/BioNTech,5309,South Korea
2021-03-07,Johnson&Johnson,0,South Korea
2021-03-07,Moderna,0,South Korea
2021-03-07,Oxford/AstraZeneca,315491,South Korea
2021-03-07,Pfizer/BioNTech,5309,South Korea
2021-03-08,Johnson&Johnson,0,South Korea
2021-03-08,Moderna,0,South Korea
2021-03-08,Oxford/AstraZeneca,381753,South Korea
2021-03-08,Pfizer/BioNTech,6475,South Korea
2021-03-09,Johnson&Johnson,0,South Korea
2021-03-09,Moderna,0,South Korea
2021-03-09,Oxford/AstraZeneca,442982,South Korea
2021-03-09,Pfizer/BioNTech,8620,South Korea
2021-03-10,Johnson&Johnson,0,South Korea
2021-03-10,Moderna,0,South Korea
2021-03-10,Oxford/AstraZeneca,492072,South Korea
2021-03-10,Pfizer/BioNTech,13546,South Korea
2021-03-11,Johnson&Johnson,0,South Korea
2021-03-11,Moderna,0,South Korea
2021-03-11,Oxford/AstraZeneca,529382,South Korea
2021-03-11,Pfizer/BioNTech,20680,South Korea
2021-03-12,Johnson&Johnson,0,South Korea
2021-03-12,Moderna,0,South Korea
2021-03-12,Oxford/AstraZeneca,561213,South Korea
2021-03-12,Pfizer/BioNTech,26939,South Korea
2021-03-13,Johnson&Johnson,0,South Korea
2021-03-13,Moderna,0,South Korea
2021-03-13,Oxford/AstraZeneca,564502,South Korea
2021-03-13,Pfizer/BioNTech,27485,South Korea
2021-03-14,Johnson&Johnson,0,South Korea
2021-03-14,Moderna,0,South Korea
2021-03-14,Oxford/AstraZeneca,565606,South Korea
2021-03-14,Pfizer/BioNTech,27551,South Korea
2021-03-15,Johnson&Johnson,0,South Korea
2021-03-15,Moderna,0,South Korea
2021-03-15,Oxford/AstraZeneca,577443,South Korea
2021-03-15,Pfizer/BioNTech,28166,South Korea
2021-03-16,Johnson&Johnson,0,South Korea
2021-03-16,Moderna,0,South Korea
2021-03-16,Oxford/AstraZeneca,589629,South Korea
2021-03-16,Pfizer/BioNTech,34808,South Korea
2021-03-17,Johnson&Johnson,0,South Korea
2021-03-17,Moderna,0,South Korea
2021-03-17,Oxford/AstraZeneca,599455,South Korea
2021-03-17,Pfizer/BioNTech,44766,South Korea
2021-03-18,Johnson&Johnson,0,South Korea
2021-03-18,Moderna,0,South Korea
2021-03-18,Oxford/AstraZeneca,609781,South Korea
2021-03-18,Pfizer/BioNTech,53721,South Korea
2021-03-19,Johnson&Johnson,0,South Korea
2021-03-19,Moderna,0,South Korea
2021-03-19,Oxford/AstraZeneca,620455,South Korea
2021-03-19,Pfizer/BioNTech,59850,South Korea
2021-03-20,Johnson&Johnson,0,South Korea
2021-03-20,Moderna,0,South Korea
2021-03-20,Oxford/AstraZeneca,620702,South Korea
2021-03-20,Pfizer/BioNTech,61151,South Korea
2021-03-21,Johnson&Johnson,0,South Korea
2021-03-21,Moderna,0,South Korea
2021-03-21,Oxford/AstraZeneca,620702,South Korea
2021-03-21,Pfizer/BioNTech,61431,South Korea
2021-03-22,Johnson&Johnson,0,South Korea
2021-03-22,Moderna,0,South Korea
2021-03-22,Oxford/AstraZeneca,624347,South Korea
2021-03-22,Pfizer/BioNTech,61746,South Korea
2021-03-23,Johnson&Johnson,0,South Korea
2021-03-23,Moderna,0,South Korea
2021-03-23,Oxford/AstraZeneca,646109,South Korea
2021-03-23,Pfizer/BioNTech,62362,South Korea
2021-03-24,Johnson&Johnson,0,South Korea
2021-03-24,Moderna,0,South Korea
2021-03-24,Oxford/AstraZeneca,676616,South Korea
2021-03-24,Pfizer/BioNTech,63555,South Korea
2021-03-25,Johnson&Johnson,0,South Korea
2021-03-25,Moderna,0,South Korea
2021-03-25,Oxford/AstraZeneca,711014,South Korea
2021-03-25,Pfizer/BioNTech,64702,South Korea
2021-03-26,Johnson&Johnson,0,South Korea
2021-03-26,Moderna,0,South Korea
2021-03-26,Oxford/AstraZeneca,735780,South Korea
2021-03-26,Pfizer/BioNTech,66103,South Korea
2021-03-27,Johnson&Johnson,0,South Korea
2021-03-27,Moderna,0,South Korea
2021-03-27,Oxford/AstraZeneca,737061,South Korea
2021-03-27,Pfizer/BioNTech,66103,South Korea
2021-03-28,Johnson&Johnson,0,South Korea
2021-03-28,Moderna,0,South Korea
2021-03-28,Oxford/AstraZeneca,737106,South Korea
2021-03-28,Pfizer/BioNTech,66103,South Korea
2021-03-29,Johnson&Johnson,0,South Korea
2021-03-29,Moderna,0,South Korea
2021-03-29,Oxford/AstraZeneca,765027,South Korea
2021-03-29,Pfizer/BioNTech,67022,South Korea
2021-03-30,Johnson&Johnson,0,South Korea
2021-03-30,Moderna,0,South Korea
2021-03-30,Oxford/AstraZeneca,794986,South Korea
2021-03-30,Pfizer/BioNTech,69066,South Korea
2021-03-31,Johnson&Johnson,0,South Korea
2021-03-31,Moderna,0,South Korea
2021-03-31,Oxford/AstraZeneca,819065,South Korea
2021-03-31,Pfizer/BioNTech,73878,South Korea
2021-04-01,Johnson&Johnson,0,South Korea
2021-04-01,Moderna,0,South Korea
2021-04-01,Oxford/AstraZeneca,837492,South Korea
2021-04-01,Pfizer/BioNTech,100270,South Korea
2021-04-02,Johnson&Johnson,0,South Korea
