location,date,vaccine,total_vaccinations
Liechtenstein,2021-02-12,Moderna,368
Liechtenstein,2021-02-12,Pfizer/BioNTech,797
Liechtenstein,2021-02-19,Moderna,888
Liechtenstein,2021-02-19,Pfizer/BioNTech,917
Liechtenstein,2021-02-26,Moderna,1256
Liechtenstein,2021-02-26,Pfizer/BioNTech,1333
Liechtenstein,2021-03-05,Moderna,1256
Liechtenstein,2021-03-05,Pfizer/BioNTech,1862
Liechtenstein,2021-03-12,Moderna,1904
Liechtenstein,2021-03-12,Pfizer/BioNTech,1862
Liechtenstein,2021-03-19,Moderna,2423
Liechtenstein,2021-03-19,Pfizer/BioNTech,1912
Liechtenstein,2021-03-26,Moderna,2423
Liechtenstein,2021-03-26,Pfizer/BioNTech,3036
Liechtenstein,2021-04-02,Moderna,2912
Liechtenstein,2021-04-02,Pfizer/BioNTech,3561
Liechtenstein,2021-04-09,Moderna,3822
Liechtenstein,2021-04-09,Pfizer/BioNTech,3561
Liechtenstein,2021-04-16,Moderna,4361
Liechtenstein,2021-04-16,Pfizer/BioNTech,4468
Liechtenstein,2021-04-23,Moderna,5199
Liechtenstein,2021-04-23,Pfizer/BioNTech,6227
Liechtenstein,2021-04-30,Moderna,6198
Liechtenstein,2021-04-30,Pfizer/BioNTech,6769
Liechtenstein,2021-05-07,Moderna,7569
Liechtenstein,2021-05-07,Pfizer/BioNTech,6769
Liechtenstein,2021-05-14,Moderna,8669
Liechtenstein,2021-05-14,Pfizer/BioNTech,7633
Liechtenstein,2021-05-21,Moderna,8959
Liechtenstein,2021-05-21,Pfizer/BioNTech,7901
Liechtenstein,2021-05-28,Moderna,10327
Liechtenstein,2021-05-28,Pfizer/BioNTech,8736
Liechtenstein,2021-06-04,Moderna,13100
Liechtenstein,2021-06-04,Pfizer/BioNTech,8736
Liechtenstein,2021-06-11,Moderna,15396
Liechtenstein,2021-06-11,Pfizer/BioNTech,9314
Liechtenstein,2021-06-18,Moderna,18203
Liechtenstein,2021-06-18,Pfizer/BioNTech,9314
Liechtenstein,2021-06-25,Moderna,19302
Liechtenstein,2021-06-25,Pfizer/BioNTech,9832
Liechtenstein,2021-07-02,Moderna,21577
Liechtenstein,2021-07-02,Pfizer/BioNTech,9832
Liechtenstein,2021-07-09,Moderna,23589
Liechtenstein,2021-07-09,Pfizer/BioNTech,10437
Liechtenstein,2021-07-16,Moderna,25915
Liechtenstein,2021-07-16,Pfizer/BioNTech,10437
Liechtenstein,2021-07-23,Moderna,26305
Liechtenstein,2021-07-23,Pfizer/BioNTech,10682
Liechtenstein,2021-07-30,Moderna,26305
Liechtenstein,2021-07-30,Pfizer/BioNTech,10682
Liechtenstein,2021-08-06,Moderna,26305
Liechtenstein,2021-08-06,Pfizer/BioNTech,10682
Liechtenstein,2021-08-13,Moderna,27431
Liechtenstein,2021-08-13,Pfizer/BioNTech,11273
Liechtenstein,2021-08-20,Moderna,28248
Liechtenstein,2021-08-20,Pfizer/BioNTech,11678
Liechtenstein,2021-08-27,Moderna,28663
Liechtenstein,2021-08-27,Pfizer/BioNTech,12255
Liechtenstein,2021-09-03,Moderna,28663
Liechtenstein,2021-09-03,Pfizer/BioNTech,12255
Liechtenstein,2021-09-10,Moderna,28674
Liechtenstein,2021-09-10,Pfizer/BioNTech,12711
Liechtenstein,2021-09-17,Moderna,30007
Liechtenstein,2021-09-17,Pfizer/BioNTech,13095
Liechtenstein,2021-09-24,Moderna,30760
Liechtenstein,2021-09-24,Pfizer/BioNTech,13695
Liechtenstein,2021-10-01,Moderna,30935
Liechtenstein,2021-10-01,Pfizer/BioNTech,13695
Liechtenstein,2021-10-08,Moderna,31124
Liechtenstein,2021-10-08,Pfizer/BioNTech,13695
Liechtenstein,2021-10-15,Moderna,31288
Liechtenstein,2021-10-15,Pfizer/BioNTech,13695
Liechtenstein,2021-10-22,Moderna,32315
Liechtenstein,2021-10-22,Pfizer/BioNTech,13716
Liechtenstein,2021-10-29,Johnson&Johnson,88
Liechtenstein,2021-10-29,Moderna,32663
Liechtenstein,2021-10-29,Pfizer/BioNTech,13716
Liechtenstein,2021-11-05,Johnson&Johnson,139
Liechtenstein,2021-11-05,Moderna,33017
Liechtenstein,2021-11-12,Johnson&Johnson,157
Liechtenstein,2021-11-12,Moderna,33333
Liechtenstein,2021-11-12,Pfizer/BioNTech,13716
Liechtenstein,2021-11-19,Johnson&Johnson,160
Liechtenstein,2021-11-19,Moderna,33499
Liechtenstein,2021-11-19,Pfizer/BioNTech,13910
Liechtenstein,2021-11-26,Johnson&Johnson,171
Liechtenstein,2021-11-26,Moderna,33862
Liechtenstein,2021-11-26,Pfizer/BioNTech,14188
Liechtenstein,2021-12-03,Johnson&Johnson,184
Liechtenstein,2021-12-03,Moderna,34621
Liechtenstein,2021-12-03,Pfizer/BioNTech,14653
Liechtenstein,2021-12-10,Johnson&Johnson,190
Liechtenstein,2021-12-10,Moderna,37155
Liechtenstein,2021-12-10,Pfizer/BioNTech,16430
Liechtenstein,2021-12-17,Johnson&Johnson,202
Liechtenstein,2021-12-17,Moderna,40432
Liechtenstein,2021-12-17,Pfizer/BioNTech,18178
Liechtenstein,2021-12-24,Johnson&Johnson,214
Liechtenstein,2021-12-24,Moderna,41244
Liechtenstein,2021-12-24,Pfizer/BioNTech,19092
Liechtenstein,2021-12-31,Johnson&Johnson,214
Liechtenstein,2021-12-31,Moderna,41305
Liechtenstein,2021-12-31,Pfizer/BioNTech,19092
Liechtenstein,2022-01-07,Johnson&Johnson,214
Liechtenstein,2022-01-07,Moderna,42392
Liechtenstein,2022-01-07,Pfizer/BioNTech,19650
