date,vaccine,total_vaccinations,location
2020-12-27,Pfizer/BioNTech,2454,Lithuania
2020-12-28,Pfizer/BioNTech,5211,Lithuania
2020-12-29,Pfizer/BioNTech,8185,Lithuania
2020-12-30,Pfizer/BioNTech,9717,Lithuania
2020-12-31,Pfizer/BioNTech,9742,Lithuania
2021-01-01,Pfizer/BioNTech,9742,Lithuania
2021-01-02,Pfizer/BioNTech,9742,Lithuania
2021-01-03,Pfizer/BioNTech,9742,Lithuania
2021-01-04,Pfizer/BioNTech,9744,Lithuania
2021-01-05,Pfizer/BioNTech,10368,Lithuania
2021-01-06,Pfizer/BioNTech,13873,Lithuania
2021-01-07,Pfizer/BioNTech,18057,Lithuania
2021-01-08,Pfizer/BioNTech,23249,Lithuania
2021-01-09,Pfizer/BioNTech,23553,Lithuania
2021-01-10,Pfizer/BioNTech,23556,Lithuania
2021-01-11,Pfizer/BioNTech,25762,Lithuania
2021-01-12,Pfizer/BioNTech,27855,Lithuania
2021-01-13,Moderna,163,Lithuania
2021-01-13,Pfizer/BioNTech,33960,Lithuania
2021-01-14,Moderna,471,Lithuania
2021-01-14,Pfizer/BioNTech,42338,Lithuania
2021-01-15,Moderna,1043,Lithuania
2021-01-15,Pfizer/BioNTech,49101,Lithuania
2021-01-16,Pfizer/BioNTech,50206,Lithuania
2021-01-16,Moderna,1043,Lithuania
2021-01-17,Moderna,1044,Lithuania
2021-01-17,Pfizer/BioNTech,51337,Lithuania
2021-01-18,Moderna,1581,Lithuania
2021-01-18,Pfizer/BioNTech,55337,Lithuania
2021-01-19,Moderna,2077,Lithuania
2021-01-19,Pfizer/BioNTech,61136,Lithuania
2021-01-20,Moderna,2315,Lithuania
2021-01-20,Pfizer/BioNTech,64376,Lithuania
2021-01-21,Moderna,2375,Lithuania
2021-01-21,Pfizer/BioNTech,65865,Lithuania
2021-01-22,Pfizer/BioNTech,66259,Lithuania
2021-01-22,Moderna,2375,Lithuania
2021-01-23,Moderna,2375,Lithuania
2021-01-23,Pfizer/BioNTech,66267,Lithuania
2021-01-24,Moderna,2375,Lithuania
2021-01-24,Pfizer/BioNTech,66267,Lithuania
2021-01-25,Moderna,2375,Lithuania
2021-01-25,Pfizer/BioNTech,66372,Lithuania
2021-01-26,Moderna,2375,Lithuania
2021-01-26,Pfizer/BioNTech,69526,Lithuania
2021-01-27,Moderna,2375,Lithuania
2021-01-27,Pfizer/BioNTech,76436,Lithuania
2021-01-28,Pfizer/BioNTech,83532,Lithuania
2021-01-28,Moderna,2375,Lithuania
2021-01-29,Pfizer/BioNTech,91598,Lithuania
2021-01-29,Moderna,2375,Lithuania
2021-01-30,Moderna,2375,Lithuania
2021-01-30,Pfizer/BioNTech,92241,Lithuania
2021-01-31,Moderna,2375,Lithuania
2021-01-31,Pfizer/BioNTech,92249,Lithuania
2021-02-01,Moderna,2375,Lithuania
2021-02-01,Pfizer/BioNTech,95063,Lithuania
2021-02-02,Moderna,2697,Lithuania
2021-02-02,Oxford/AstraZeneca,2,Lithuania
2021-02-02,Pfizer/BioNTech,98574,Lithuania
2021-02-03,Moderna,3328,Lithuania
2021-02-03,Oxford/AstraZeneca,2,Lithuania
2021-02-03,Pfizer/BioNTech,104688,Lithuania
2021-02-04,Pfizer/BioNTech,113899,Lithuania
2021-02-04,Moderna,3910,Lithuania
2021-02-04,Oxford/AstraZeneca,3,Lithuania
2021-02-05,Moderna,4055,Lithuania
2021-02-05,Oxford/AstraZeneca,4,Lithuania
2021-02-05,Pfizer/BioNTech,121003,Lithuania
