location,date,vaccine,total_vaccinations
Austria,2021-01-08,Johnson&Johnson,0
Austria,2021-01-08,Moderna,0
Austria,2021-01-08,Oxford/AstraZeneca,0
Austria,2021-01-08,Pfizer/BioNTech,31295
Austria,2021-01-15,Johnson&Johnson,0
Austria,2021-01-15,Moderna,89
Austria,2021-01-15,Oxford/AstraZeneca,0
Austria,2021-01-15,Pfizer/BioNTech,116324
Austria,2021-01-22,Johnson&Johnson,0
Austria,2021-01-22,Moderna,313
Austria,2021-01-22,Oxford/AstraZeneca,0
Austria,2021-01-22,Pfizer/BioNTech,213689
Austria,2021-01-29,Johnson&Johnson,0
Austria,2021-01-29,Moderna,4261
Austria,2021-01-29,Oxford/AstraZeneca,0
Austria,2021-01-29,Pfizer/BioNTech,258561
Austria,2021-02-05,Johnson&Johnson,0
Austria,2021-02-05,Moderna,5962
Austria,2021-02-05,Oxford/AstraZeneca,0
Austria,2021-02-05,Pfizer/BioNTech,354532
Austria,2021-02-12,Johnson&Johnson,0
Austria,2021-02-12,Moderna,10054
Austria,2021-02-12,Oxford/AstraZeneca,10768
Austria,2021-02-12,Pfizer/BioNTech,456334
Austria,2021-02-19,Johnson&Johnson,0
Austria,2021-02-19,Moderna,14189
Austria,2021-02-19,Oxford/AstraZeneca,43524
Austria,2021-02-19,Pfizer/BioNTech,522161
Austria,2021-02-26,Johnson&Johnson,0
Austria,2021-02-26,Moderna,22602
Austria,2021-02-26,Oxford/AstraZeneca,101258
Austria,2021-02-26,Pfizer/BioNTech,583451
Austria,2021-03-05,Johnson&Johnson,2
Austria,2021-03-05,Moderna,31924
Austria,2021-03-05,Oxford/AstraZeneca,156189
Austria,2021-03-05,Pfizer/BioNTech,688054
Austria,2021-03-12,Johnson&Johnson,2
Austria,2021-03-12,Moderna,47304
Austria,2021-03-12,Oxford/AstraZeneca,234965
Austria,2021-03-12,Pfizer/BioNTech,851080
Austria,2021-03-19,Johnson&Johnson,24
Austria,2021-03-19,Moderna,79082
Austria,2021-03-19,Oxford/AstraZeneca,308255
Austria,2021-03-19,Pfizer/BioNTech,983937
Austria,2021-03-26,Johnson&Johnson,40
Austria,2021-03-26,Moderna,104490
Austria,2021-03-26,Oxford/AstraZeneca,383634
Austria,2021-03-26,Pfizer/BioNTech,1130791
Austria,2021-04-02,Johnson&Johnson,67
Austria,2021-04-02,Moderna,140884
Austria,2021-04-02,Oxford/AstraZeneca,422193
Austria,2021-04-02,Pfizer/BioNTech,1279283
Austria,2021-04-09,Johnson&Johnson,126
Austria,2021-04-09,Moderna,180466
Austria,2021-04-09,Oxford/AstraZeneca,512524
Austria,2021-04-09,Pfizer/BioNTech,1501289
Austria,2021-04-16,Johnson&Johnson,139
Austria,2021-04-16,Moderna,223035
Austria,2021-04-16,Oxford/AstraZeneca,608435
Austria,2021-04-16,Pfizer/BioNTech,1735767
Austria,2021-04-23,Johnson&Johnson,147
Austria,2021-04-23,Moderna,260391
Austria,2021-04-23,Oxford/AstraZeneca,657369
Austria,2021-04-23,Pfizer/BioNTech,2000030
Austria,2021-04-30,Johnson&Johnson,425
Austria,2021-04-30,Moderna,299421
Austria,2021-04-30,Oxford/AstraZeneca,699772
Austria,2021-04-30,Pfizer/BioNTech,2274170
Austria,2021-05-07,Johnson&Johnson,6538
Austria,2021-05-07,Moderna,348835
Austria,2021-05-07,Oxford/AstraZeneca,762714
Austria,2021-05-07,Pfizer/BioNTech,2605486
Austria,2021-05-14,Johnson&Johnson,13563
Austria,2021-05-14,Moderna,398895
Austria,2021-05-14,Oxford/AstraZeneca,826898
Austria,2021-05-14,Pfizer/BioNTech,2905784
Austria,2021-05-21,Johnson&Johnson,25835
Austria,2021-05-21,Moderna,466984
Austria,2021-05-21,Oxford/AstraZeneca,904464
Austria,2021-05-21,Pfizer/BioNTech,3284792
Austria,2021-05-28,Johnson&Johnson,38027
Austria,2021-05-28,Moderna,520680
Austria,2021-05-28,Oxford/AstraZeneca,986995
Austria,2021-05-28,Pfizer/BioNTech,3621421
Austria,2021-06-04,Johnson&Johnson,58489
Austria,2021-06-04,Moderna,576226
Austria,2021-06-04,Oxford/AstraZeneca,1055223
Austria,2021-06-04,Pfizer/BioNTech,4048335
Austria,2021-06-11,Johnson&Johnson,80218
Austria,2021-06-11,Moderna,639402
Austria,2021-06-11,Oxford/AstraZeneca,1150087
Austria,2021-06-11,Pfizer/BioNTech,4488581
Austria,2021-06-18,Johnson&Johnson,95216
Austria,2021-06-18,Moderna,689234
Austria,2021-06-18,Oxford/AstraZeneca,1201692
Austria,2021-06-18,Pfizer/BioNTech,4945471
Austria,2021-06-25,Johnson&Johnson,103819
Austria,2021-06-25,Moderna,745072
Austria,2021-06-25,Oxford/AstraZeneca,1274871
Austria,2021-06-25,Pfizer/BioNTech,5392629
Austria,2021-07-02,Johnson&Johnson,129312
Austria,2021-07-02,Moderna,805278
Austria,2021-07-02,Oxford/AstraZeneca,1381733
Austria,2021-07-02,Pfizer/BioNTech,5786068
Austria,2021-07-09,Johnson&Johnson,153508
Austria,2021-07-09,Moderna,855977
Austria,2021-07-09,Oxford/AstraZeneca,1445785
Austria,2021-07-09,Pfizer/BioNTech,6117740
Austria,2021-07-16,Johnson&Johnson,172862
Austria,2021-07-16,Moderna,900882
Austria,2021-07-16,Oxford/AstraZeneca,1494019
Austria,2021-07-16,Pfizer/BioNTech,6394015
Austria,2021-07-23,Johnson&Johnson,189420
Austria,2021-07-23,Moderna,947469
Austria,2021-07-23,Oxford/AstraZeneca,1520803
Austria,2021-07-23,Pfizer/BioNTech,6645905
Austria,2021-07-30,Johnson&Johnson,201493
Austria,2021-07-30,Moderna,966423
Austria,2021-07-30,Oxford/AstraZeneca,1545451
Austria,2021-07-30,Pfizer/BioNTech,6858634
Austria,2021-08-06,Johnson&Johnson,216670
Austria,2021-08-06,Moderna,984262
Austria,2021-08-06,Oxford/AstraZeneca,1559627
Austria,2021-08-06,Pfizer/BioNTech,7037514
Austria,2021-08-13,Johnson&Johnson,226979
Austria,2021-08-13,Moderna,993805
