location,date,vaccine,total_vaccinations
Austria,2021-01-08,Johnson&Johnson,0
Austria,2021-01-08,Moderna,0
Austria,2021-01-08,Oxford/AstraZeneca,0
Austria,2021-01-08,Pfizer/BioNTech,31394
Austria,2021-01-15,Johnson&Johnson,0
Austria,2021-01-15,Moderna,91
Austria,2021-01-15,Oxford/AstraZeneca,0
Austria,2021-01-15,Pfizer/BioNTech,116787
Austria,2021-01-22,Johnson&Johnson,0
Austria,2021-01-22,Moderna,310
Austria,2021-01-22,Oxford/AstraZeneca,1
Austria,2021-01-22,Pfizer/BioNTech,214625
Austria,2021-01-29,Johnson&Johnson,0
Austria,2021-01-29,Moderna,4263
Austria,2021-01-29,Oxford/AstraZeneca,2
Austria,2021-01-29,Pfizer/BioNTech,259623
Austria,2021-02-05,Johnson&Johnson,0
Austria,2021-02-05,Moderna,5967
Austria,2021-02-05,Oxford/AstraZeneca,10
Austria,2021-02-05,Pfizer/BioNTech,355562
Austria,2021-02-12,Johnson&Johnson,0
Austria,2021-02-12,Moderna,10065
Austria,2021-02-12,Oxford/AstraZeneca,10834
Austria,2021-02-12,Pfizer/BioNTech,457486
Austria,2021-02-19,Johnson&Johnson,0
Austria,2021-02-19,Moderna,14200
Austria,2021-02-19,Oxford/AstraZeneca,43674
Austria,2021-02-19,Pfizer/BioNTech,523386
Austria,2021-02-26,Johnson&Johnson,0
Austria,2021-02-26,Moderna,22625
Austria,2021-02-26,Oxford/AstraZeneca,101612
Austria,2021-02-26,Pfizer/BioNTech,584751
Austria,2021-03-05,Johnson&Johnson,0
Austria,2021-03-05,Moderna,31985
Austria,2021-03-05,Oxford/AstraZeneca,156570
Austria,2021-03-05,Pfizer/BioNTech,689442
Austria,2021-03-12,Johnson&Johnson,0
Austria,2021-03-12,Moderna,47366
Austria,2021-03-12,Oxford/AstraZeneca,235426
Austria,2021-03-12,Pfizer/BioNTech,852795
Austria,2021-03-19,Johnson&Johnson,16
Austria,2021-03-19,Moderna,79205
Austria,2021-03-19,Oxford/AstraZeneca,308857
Austria,2021-03-19,Pfizer/BioNTech,985682
Austria,2021-03-26,Johnson&Johnson,30
Austria,2021-03-26,Moderna,104644
Austria,2021-03-26,Oxford/AstraZeneca,384409
Austria,2021-03-26,Pfizer/BioNTech,1132083
Austria,2021-04-02,Johnson&Johnson,51
Austria,2021-04-02,Moderna,141061
Austria,2021-04-02,Oxford/AstraZeneca,423025
Austria,2021-04-02,Pfizer/BioNTech,1280443
Austria,2021-04-09,Johnson&Johnson,93
Austria,2021-04-09,Moderna,180646
Austria,2021-04-09,Oxford/AstraZeneca,513583
Austria,2021-04-09,Pfizer/BioNTech,1502008
Austria,2021-04-16,Johnson&Johnson,102
Austria,2021-04-16,Moderna,223207
Austria,2021-04-16,Oxford/AstraZeneca,609634
Austria,2021-04-16,Pfizer/BioNTech,1735971
Austria,2021-04-23,Johnson&Johnson,107
Austria,2021-04-23,Moderna,260552
Austria,2021-04-23,Oxford/AstraZeneca,658644
Austria,2021-04-23,Pfizer/BioNTech,1999668
Austria,2021-04-30,Johnson&Johnson,370
Austria,2021-04-30,Moderna,299528
Austria,2021-04-30,Oxford/AstraZeneca,701154
Austria,2021-04-30,Pfizer/BioNTech,2273247
Austria,2021-05-07,Johnson&Johnson,6507
Austria,2021-05-07,Moderna,348843
Austria,2021-05-07,Oxford/AstraZeneca,764266
Austria,2021-05-07,Pfizer/BioNTech,2603812
Austria,2021-05-14,Johnson&Johnson,13509
Austria,2021-05-14,Moderna,398748
Austria,2021-05-14,Oxford/AstraZeneca,828537
Austria,2021-05-14,Pfizer/BioNTech,2903381
Austria,2021-05-21,Johnson&Johnson,25776
Austria,2021-05-21,Moderna,466754
Austria,2021-05-21,Oxford/AstraZeneca,906436
Austria,2021-05-21,Pfizer/BioNTech,3281282
Austria,2021-05-28,Johnson&Johnson,37936
Austria,2021-05-28,Moderna,520373
Austria,2021-05-28,Oxford/AstraZeneca,989483
Austria,2021-05-28,Pfizer/BioNTech,3616651
Austria,2021-06-04,Johnson&Johnson,58161
Austria,2021-06-04,Moderna,575774
Austria,2021-06-04,Oxford/AstraZeneca,1058274
Austria,2021-06-04,Pfizer/BioNTech,4042366
Austria,2021-06-11,Johnson&Johnson,79823
Austria,2021-06-11,Moderna,638794
Austria,2021-06-11,Oxford/AstraZeneca,1153814
Austria,2021-06-11,Pfizer/BioNTech,4480949
Austria,2021-06-18,Johnson&Johnson,94785
Austria,2021-06-18,Moderna,688445
Austria,2021-06-18,Oxford/AstraZeneca,1206354
Austria,2021-06-18,Pfizer/BioNTech,4936120
Austria,2021-06-25,Johnson&Johnson,103341
Austria,2021-06-25,Moderna,744198
Austria,2021-06-25,Oxford/AstraZeneca,1280416
Austria,2021-06-25,Pfizer/BioNTech,5380997
Austria,2021-07-02,Johnson&Johnson,128732
Austria,2021-07-02,Moderna,804263
Austria,2021-07-02,Oxford/AstraZeneca,1388412
Austria,2021-07-02,Pfizer/BioNTech,5772027
Austria,2021-07-09,Johnson&Johnson,152772
Austria,2021-07-09,Moderna,854611
Austria,2021-07-09,Oxford/AstraZeneca,1456366
Austria,2021-07-09,Pfizer/BioNTech,6099199
Austria,2021-07-16,Johnson&Johnson,172017
Austria,2021-07-16,Moderna,899091
Austria,2021-07-16,Oxford/AstraZeneca,1508128
Austria,2021-07-16,Pfizer/BioNTech,6371031
Austria,2021-07-23,Johnson&Johnson,188528
Austria,2021-07-23,Moderna,945569
Austria,2021-07-23,Oxford/AstraZeneca,1537976
Austria,2021-07-23,Pfizer/BioNTech,6619031
Austria,2021-07-30,Johnson&Johnson,200546
Austria,2021-07-30,Moderna,964458
Austria,2021-07-30,Oxford/AstraZeneca,1564619
Austria,2021-07-30,Pfizer/BioNTech,6828350
Austria,2021-08-06,Johnson&Johnson,215626
Austria,2021-08-06,Moderna,982232
Austria,2021-08-06,Oxford/AstraZeneca,1580166
Austria,2021-08-06,Pfizer/BioNTech,7004611
Austria,2021-08-13,Johnson&Johnson,225832
Austria,2021-08-13,Moderna,991644
