location,date,vaccine,total_vaccinations
Ecuador,2021-08-02,CanSino,39
Ecuador,2021-08-03,CanSino,39
Ecuador,2021-08-04,CanSino,39
Ecuador,2021-08-05,CanSino,41
Ecuador,2021-08-06,CanSino,41
Ecuador,2021-08-07,CanSino,41
Ecuador,2021-08-08,CanSino,41
Ecuador,2021-08-09,CanSino,41
Ecuador,2021-08-10,CanSino,41
Ecuador,2021-08-11,CanSino,333
Ecuador,2021-08-12,CanSino,690
Ecuador,2021-08-13,CanSino,1997
Ecuador,2021-08-14,CanSino,2440
Ecuador,2021-08-15,CanSino,2580
Ecuador,2021-08-16,CanSino,3778
Ecuador,2021-08-17,CanSino,8361
Ecuador,2021-08-18,CanSino,14873
Ecuador,2021-08-19,CanSino,21447
Ecuador,2021-08-20,CanSino,26888
Ecuador,2021-08-21,CanSino,33835
Ecuador,2021-08-22,CanSino,39401
Ecuador,2021-08-23,CanSino,49048
Ecuador,2021-08-24,CanSino,65036
Ecuador,2021-08-25,CanSino,78910
Ecuador,2021-08-26,CanSino,97024
Ecuador,2021-08-27,CanSino,115171
Ecuador,2021-08-28,CanSino,128360
Ecuador,2021-08-29,CanSino,138651
Ecuador,2021-08-30,CanSino,158208
Ecuador,2021-08-31,CanSino,177972
Ecuador,2021-09-01,CanSino,199225
Ecuador,2021-09-02,CanSino,216882
Ecuador,2021-09-03,CanSino,233557
Ecuador,2021-09-04,CanSino,242200
Ecuador,2021-09-05,CanSino,248738
Ecuador,2021-09-06,CanSino,261483
Ecuador,2021-09-07,CanSino,274355
Ecuador,2021-09-08,CanSino,285028
Ecuador,2021-09-09,CanSino,294359
Ecuador,2021-09-10,CanSino,303968
Ecuador,2021-09-11,CanSino,305612
Ecuador,2021-09-12,CanSino,306378
Ecuador,2021-09-13,CanSino,312824
Ecuador,2021-09-14,CanSino,320023
Ecuador,2021-09-15,CanSino,326958
Ecuador,2021-09-16,CanSino,332926
Ecuador,2021-09-17,CanSino,339736
Ecuador,2021-09-18,CanSino,340368
Ecuador,2021-09-19,CanSino,340839
Ecuador,2021-09-20,CanSino,345258
Ecuador,2021-09-21,CanSino,348407
Ecuador,2021-09-22,CanSino,351317
Ecuador,2021-09-23,CanSino,353734
Ecuador,2021-09-24,CanSino,357554
Ecuador,2021-09-25,CanSino,358205
Ecuador,2021-09-26,CanSino,358341
Ecuador,2021-09-27,CanSino,361583
Ecuador,2021-09-28,CanSino,365204
Ecuador,2021-09-29,CanSino,369372
Ecuador,2021-09-30,CanSino,372242
Ecuador,2021-10-01,CanSino,375677
Ecuador,2021-10-02,CanSino,376088
Ecuador,2021-10-03,CanSino,376261
Ecuador,2021-10-04,CanSino,378922
Ecuador,2021-10-05,CanSino,381651
Ecuador,2021-10-06,CanSino,384191
Ecuador,2021-10-07,CanSino,386434
Ecuador,2021-02-04,Oxford/AstraZeneca,1
Ecuador,2021-02-05,Oxford/AstraZeneca,1
Ecuador,2021-02-06,Oxford/AstraZeneca,1
Ecuador,2021-02-07,Oxford/AstraZeneca,1
