location,date,vaccine,total_vaccinations
Hong Kong,2021-02-22,Pfizer/BioNTech,0
Hong Kong,2021-02-22,Sinovac,47
Hong Kong,2021-02-23,Pfizer/BioNTech,0
Hong Kong,2021-02-23,Sinovac,579
Hong Kong,2021-02-24,Pfizer/BioNTech,0
Hong Kong,2021-02-24,Sinovac,579
Hong Kong,2021-02-25,Pfizer/BioNTech,0
Hong Kong,2021-02-25,Sinovac,579
Hong Kong,2021-02-26,Pfizer/BioNTech,0
Hong Kong,2021-02-26,Sinovac,6645
Hong Kong,2021-02-27,Pfizer/BioNTech,0
Hong Kong,2021-02-27,Sinovac,13685
Hong Kong,2021-02-28,Pfizer/BioNTech,0
Hong Kong,2021-02-28,Sinovac,20701
Hong Kong,2021-03-01,Pfizer/BioNTech,0
Hong Kong,2021-03-01,Sinovac,27109
Hong Kong,2021-03-02,Pfizer/BioNTech,0
Hong Kong,2021-03-02,Sinovac,40180
Hong Kong,2021-03-03,Pfizer/BioNTech,0
Hong Kong,2021-03-03,Sinovac,51848
Hong Kong,2021-03-04,Pfizer/BioNTech,0
Hong Kong,2021-03-04,Sinovac,62237
Hong Kong,2021-03-05,Pfizer/BioNTech,0
Hong Kong,2021-03-05,Sinovac,72375
Hong Kong,2021-03-06,Pfizer/BioNTech,336
Hong Kong,2021-03-06,Sinovac,83697
Hong Kong,2021-03-07,Pfizer/BioNTech,1207
Hong Kong,2021-03-07,Sinovac,91819
Hong Kong,2021-03-08,Pfizer/BioNTech,2130
Hong Kong,2021-03-08,Sinovac,101721
Hong Kong,2021-03-09,Pfizer/BioNTech,3008
Hong Kong,2021-03-09,Sinovac,110519
Hong Kong,2021-03-10,Pfizer/BioNTech,9028
Hong Kong,2021-03-10,Sinovac,121521
Hong Kong,2021-03-11,Pfizer/BioNTech,14791
Hong Kong,2021-03-11,Sinovac,131118
Hong Kong,2021-03-12,Pfizer/BioNTech,21519
Hong Kong,2021-03-12,Sinovac,140713
Hong Kong,2021-03-13,Pfizer/BioNTech,27845
Hong Kong,2021-03-13,Sinovac,149268
Hong Kong,2021-03-14,Pfizer/BioNTech,33525
Hong Kong,2021-03-14,Sinovac,157208
Hong Kong,2021-03-15,Pfizer/BioNTech,39922
Hong Kong,2021-03-15,Sinovac,166174
Hong Kong,2021-03-16,Pfizer/BioNTech,53021
Hong Kong,2021-03-16,Sinovac,176402
Hong Kong,2021-03-17,Pfizer/BioNTech,64373
Hong Kong,2021-03-17,Sinovac,189649
Hong Kong,2021-03-18,Pfizer/BioNTech,75151
Hong Kong,2021-03-18,Sinovac,201496
Hong Kong,2021-03-19,Pfizer/BioNTech,90960
Hong Kong,2021-03-19,Sinovac,213292
Hong Kong,2021-03-20,Pfizer/BioNTech,106003
Hong Kong,2021-03-20,Sinovac,224617
Hong Kong,2021-03-21,Pfizer/BioNTech,120739
Hong Kong,2021-03-21,Sinovac,233701
Hong Kong,2021-03-22,Pfizer/BioNTech,135824
Hong Kong,2021-03-22,Sinovac,243870
Hong Kong,2021-03-23,Pfizer/BioNTech,150244
Hong Kong,2021-03-23,Sinovac,253281
Hong Kong,2021-03-24,Pfizer/BioNTech,151325
Hong Kong,2021-03-24,Sinovac,261975
Hong Kong,2021-03-25,Pfizer/BioNTech,151325
Hong Kong,2021-03-25,Sinovac,270195
Hong Kong,2021-03-26,Pfizer/BioNTech,151325
Hong Kong,2021-03-26,Sinovac,283912
Hong Kong,2021-03-27,Pfizer/BioNTech,151325
Hong Kong,2021-03-27,Sinovac,297952
Hong Kong,2021-03-28,Pfizer/BioNTech,151325
Hong Kong,2021-03-28,Sinovac,311126
Hong Kong,2021-03-29,Pfizer/BioNTech,151325
Hong Kong,2021-03-29,Sinovac,323797
Hong Kong,2021-03-30,Pfizer/BioNTech,151325
Hong Kong,2021-03-30,Sinovac,338992
Hong Kong,2021-03-31,Pfizer/BioNTech,151325
Hong Kong,2021-03-31,Sinovac,353772
Hong Kong,2021-04-01,Pfizer/BioNTech,151325
Hong Kong,2021-04-01,Sinovac,369049
Hong Kong,2021-04-02,Pfizer/BioNTech,151325
Hong Kong,2021-04-02,Sinovac,379910
Hong Kong,2021-04-03,Pfizer/BioNTech,151325
Hong Kong,2021-04-03,Sinovac,392659
Hong Kong,2021-04-04,Pfizer/BioNTech,151983
Hong Kong,2021-04-04,Sinovac,404085
Hong Kong,2021-04-05,Pfizer/BioNTech,163728
Hong Kong,2021-04-05,Sinovac,413505
Hong Kong,2021-04-06,Pfizer/BioNTech,193565
Hong Kong,2021-04-06,Sinovac,422435
Hong Kong,2021-04-07,Pfizer/BioNTech,219537
Hong Kong,2021-04-07,Sinovac,440248
Hong Kong,2021-04-08,Pfizer/BioNTech,244598
Hong Kong,2021-04-08,Sinovac,455705
Hong Kong,2021-04-09,Pfizer/BioNTech,274283
Hong Kong,2021-04-09,Sinovac,470752
Hong Kong,2021-04-10,Pfizer/BioNTech,307577
Hong Kong,2021-04-10,Sinovac,483973
Hong Kong,2021-04-11,Pfizer/BioNTech,339562
Hong Kong,2021-04-11,Sinovac,495330
Hong Kong,2021-04-12,Pfizer/BioNTech,370268
Hong Kong,2021-04-12,Sinovac,507975
Hong Kong,2021-04-13,Pfizer/BioNTech,397768
Hong Kong,2021-04-13,Sinovac,521185
Hong Kong,2021-04-14,Pfizer/BioNTech,414247
Hong Kong,2021-04-14,Sinovac,536863
Hong Kong,2021-04-15,Pfizer/BioNTech,428957
Hong Kong,2021-04-15,Sinovac,552136
Hong Kong,2021-04-16,Pfizer/BioNTech,449248
Hong Kong,2021-04-16,Sinovac,568599
Hong Kong,2021-04-17,Pfizer/BioNTech,472580
Hong Kong,2021-04-17,Sinovac,584691
Hong Kong,2021-04-18,Pfizer/BioNTech,492448
Hong Kong,2021-04-18,Sinovac,598654
Hong Kong,2021-04-19,Pfizer/BioNTech,509676
Hong Kong,2021-04-19,Sinovac,613898
Hong Kong,2021-04-20,Pfizer/BioNTech,522584
Hong Kong,2021-04-20,Sinovac,627075
Hong Kong,2021-04-21,Pfizer/BioNTech,534068
Hong Kong,2021-04-21,Sinovac,639032
Hong Kong,2021-04-22,Pfizer/BioNTech,545794
Hong Kong,2021-04-22,Sinovac,650856
Hong Kong,2021-04-23,Pfizer/BioNTech,559087
Hong Kong,2021-04-23,Sinovac,663795
Hong Kong,2021-04-24,Pfizer/BioNTech,576257
Hong Kong,2021-04-24,Sinovac,676813
Hong Kong,2021-04-25,Pfizer/BioNTech,587132
Hong Kong,2021-04-25,Sinovac,688049
Hong Kong,2021-04-26,Pfizer/BioNTech,602961
Hong Kong,2021-04-26,Sinovac,699243
Hong Kong,2021-04-27,Pfizer/BioNTech,617999
Hong Kong,2021-04-27,Sinovac,708874
Hong Kong,2021-04-28,Pfizer/BioNTech,633052
Hong Kong,2021-04-28,Sinovac,718706
Hong Kong,2021-04-29,Pfizer/BioNTech,648990
Hong Kong,2021-04-29,Sinovac,728523
Hong Kong,2021-04-30,Pfizer/BioNTech,672911
Hong Kong,2021-04-30,Sinovac,740873
Hong Kong,2021-05-01,Pfizer/BioNTech,704169
Hong Kong,2021-05-01,Sinovac,750255
Hong Kong,2021-05-02,Pfizer/BioNTech,733052
Hong Kong,2021-05-02,Sinovac,758890
Hong Kong,2021-05-03,Pfizer/BioNTech,761225
Hong Kong,2021-05-03,Sinovac,768440
Hong Kong,2021-05-04,Pfizer/BioNTech,785883
Hong Kong,2021-05-04,Sinovac,776965
Hong Kong,2021-05-05,Pfizer/BioNTech,808170
Hong Kong,2021-05-05,Sinovac,785454
Hong Kong,2021-05-06,Pfizer/BioNTech,830518
Hong Kong,2021-05-06,Sinovac,793547
Hong Kong,2021-05-07,Pfizer/BioNTech,859909
Hong Kong,2021-05-07,Sinovac,802465
Hong Kong,2021-05-08,Pfizer/BioNTech,893098
Hong Kong,2021-05-08,Sinovac,811364
Hong Kong,2021-05-09,Pfizer/BioNTech,923249
Hong Kong,2021-05-09,Sinovac,818432
Hong Kong,2021-05-10,Pfizer/BioNTech,950164
Hong Kong,2021-05-10,Sinovac,826404
Hong Kong,2021-05-11,Pfizer/BioNTech,971048
Hong Kong,2021-05-11,Sinovac,834030
Hong Kong,2021-05-12,Pfizer/BioNTech,989519
Hong Kong,2021-05-12,Sinovac,841346
Hong Kong,2021-05-13,Pfizer/BioNTech,1007898
Hong Kong,2021-05-13,Sinovac,848745
Hong Kong,2021-05-14,Pfizer/BioNTech,1031159
Hong Kong,2021-05-14,Sinovac,857466
Hong Kong,2021-05-15,Pfizer/BioNTech,1060281
Hong Kong,2021-05-15,Sinovac,865976
Hong Kong,2021-05-16,Pfizer/BioNTech,1081908
Hong Kong,2021-05-16,Sinovac,873178
Hong Kong,2021-05-17,Pfizer/BioNTech,1101944
Hong Kong,2021-05-17,Sinovac,882396
Hong Kong,2021-05-18,Pfizer/BioNTech,1118321
Hong Kong,2021-05-18,Sinovac,892060
Hong Kong,2021-05-19,Pfizer/BioNTech,1129853
Hong Kong,2021-05-19,Sinovac,896695
Hong Kong,2021-05-20,Pfizer/BioNTech,1144807
Hong Kong,2021-05-20,Sinovac,905524
Hong Kong,2021-05-21,Pfizer/BioNTech,1165816
Hong Kong,2021-05-21,Sinovac,915359
Hong Kong,2021-05-22,Pfizer/BioNTech,1192545
Hong Kong,2021-05-22,Sinovac,925280
Hong Kong,2021-05-23,Pfizer/BioNTech,1213484
Hong Kong,2021-05-23,Sinovac,933176
Hong Kong,2021-05-24,Pfizer/BioNTech,1231669
Hong Kong,2021-05-24,Sinovac,943370
Hong Kong,2021-05-25,Pfizer/BioNTech,1246779
Hong Kong,2021-05-25,Sinovac,953320
Hong Kong,2021-05-26,Pfizer/BioNTech,1261012
Hong Kong,2021-05-26,Sinovac,963164
Hong Kong,2021-05-27,Pfizer/BioNTech,1276407
Hong Kong,2021-05-27,Sinovac,973913
Hong Kong,2021-05-28,Pfizer/BioNTech,1298638
Hong Kong,2021-05-28,Sinovac,987679
Hong Kong,2021-05-29,Pfizer/BioNTech,1326702
Hong Kong,2021-05-29,Sinovac,1002156
Hong Kong,2021-05-30,Pfizer/BioNTech,1349217
Hong Kong,2021-05-30,Sinovac,1014817
Hong Kong,2021-05-31,Pfizer/BioNTech,1369620
Hong Kong,2021-05-31,Sinovac,1030883
Hong Kong,2021-06-01,Pfizer/BioNTech,1386361
Hong Kong,2021-06-01,Sinovac,1047704
Hong Kong,2021-06-02,Pfizer/BioNTech,1402068
Hong Kong,2021-06-02,Sinovac,1064497
Hong Kong,2021-06-03,Pfizer/BioNTech,1420963
Hong Kong,2021-06-03,Sinovac,1081820
Hong Kong,2021-06-04,Pfizer/BioNTech,1447517
Hong Kong,2021-06-04,Sinovac,1100217
Hong Kong,2021-06-05,Pfizer/BioNTech,1480588
Hong Kong,2021-06-05,Sinovac,1117662
Hong Kong,2021-06-06,Pfizer/BioNTech,1506549
Hong Kong,2021-06-06,Sinovac,1131037
Hong Kong,2021-06-07,Pfizer/BioNTech,1529498
Hong Kong,2021-06-07,Sinovac,1150238
Hong Kong,2021-06-08,Pfizer/BioNTech,1547784
Hong Kong,2021-06-08,Sinovac,1168432
Hong Kong,2021-06-09,Pfizer/BioNTech,1563824
Hong Kong,2021-06-09,Sinovac,1185257
Hong Kong,2021-06-10,Pfizer/BioNTech,1584474
Hong Kong,2021-06-10,Sinovac,1202839
Hong Kong,2021-06-11,Pfizer/BioNTech,1614121
Hong Kong,2021-06-11,Sinovac,1223626
Hong Kong,2021-06-12,Pfizer/BioNTech,1649181
Hong Kong,2021-06-12,Sinovac,1242710
Hong Kong,2021-06-13,Pfizer/BioNTech,1677195
Hong Kong,2021-06-13,Sinovac,1257196
Hong Kong,2021-06-14,Pfizer/BioNTech,1697742
Hong Kong,2021-06-14,Sinovac,1267138
Hong Kong,2021-06-15,Pfizer/BioNTech,1720300
Hong Kong,2021-06-15,Sinovac,1286102
Hong Kong,2021-06-16,Pfizer/BioNTech,1739029
Hong Kong,2021-06-16,Sinovac,1302832
Hong Kong,2021-06-17,Pfizer/BioNTech,1759935
Hong Kong,2021-06-17,Sinovac,1320828
Hong Kong,2021-06-18,Pfizer/BioNTech,1790250
Hong Kong,2021-06-18,Sinovac,1340844
Hong Kong,2021-06-19,Pfizer/BioNTech,1824023
Hong Kong,2021-06-19,Sinovac,1358683
Hong Kong,2021-06-20,Pfizer/BioNTech,1849517
Hong Kong,2021-06-20,Sinovac,1371148
Hong Kong,2021-06-21,Pfizer/BioNTech,1876258
Hong Kong,2021-06-21,Sinovac,1390410
Hong Kong,2021-06-22,Pfizer/BioNTech,1897868
Hong Kong,2021-06-22,Sinovac,1409797
Hong Kong,2021-06-23,Pfizer/BioNTech,1920633
Hong Kong,2021-06-23,Sinovac,1427716
Hong Kong,2021-06-24,Pfizer/BioNTech,1948139
Hong Kong,2021-06-24,Sinovac,1446634
Hong Kong,2021-06-25,Pfizer/BioNTech,1983588
Hong Kong,2021-06-25,Sinovac,1469128
Hong Kong,2021-06-26,Pfizer/BioNTech,2021905
Hong Kong,2021-06-26,Sinovac,1489370
Hong Kong,2021-06-27,Pfizer/BioNTech,2056979
Hong Kong,2021-06-27,Sinovac,1504501
Hong Kong,2021-06-28,Pfizer/BioNTech,2087431
Hong Kong,2021-06-28,Sinovac,1525595
