location,date,vaccine,total_vaccinations
Malta,2021-01-01,Pfizer/BioNTech,57
Malta,2021-01-08,Oxford/AstraZeneca,3
Malta,2021-01-08,Pfizer/BioNTech,4543
Malta,2021-01-15,Moderna,2
Malta,2021-01-15,Oxford/AstraZeneca,6
Malta,2021-01-15,Pfizer/BioNTech,11022
Malta,2021-01-22,Moderna,3
Malta,2021-01-22,Oxford/AstraZeneca,13
Malta,2021-01-22,Pfizer/BioNTech,18886
Malta,2021-01-29,Pfizer/BioNTech,26522
Malta,2021-02-05,Moderna,48
Malta,2021-02-05,Oxford/AstraZeneca,23
Malta,2021-02-05,Pfizer/BioNTech,39381
Malta,2021-02-12,Moderna,431
Malta,2021-02-12,Oxford/AstraZeneca,181
Malta,2021-02-12,Pfizer/BioNTech,50030
Malta,2021-02-19,Moderna,950
Malta,2021-02-19,Oxford/AstraZeneca,3113
Malta,2021-02-19,Pfizer/BioNTech,60504
Malta,2021-02-26,Johnson&Johnson,5
Malta,2021-02-26,Moderna,1480
Malta,2021-02-26,Oxford/AstraZeneca,13107
Malta,2021-02-26,Pfizer/BioNTech,73872
Malta,2021-03-05,Moderna,1577
Malta,2021-03-05,Oxford/AstraZeneca,26455
Malta,2021-03-05,Pfizer/BioNTech,86668
Malta,2021-03-12,Johnson&Johnson,6
Malta,2021-03-12,Moderna,1951
Malta,2021-03-12,Oxford/AstraZeneca,41427
Malta,2021-03-12,Pfizer/BioNTech,99876
Malta,2021-03-19,Johnson&Johnson,7
Malta,2021-03-19,Moderna,3573
Malta,2021-03-19,Oxford/AstraZeneca,52007
Malta,2021-03-19,Pfizer/BioNTech,114712
Malta,2021-03-26,Moderna,9665
Malta,2021-03-26,Oxford/AstraZeneca,56973
Malta,2021-03-26,Pfizer/BioNTech,132059
Malta,2021-04-02,Moderna,11106
Malta,2021-04-02,Oxford/AstraZeneca,68133
Malta,2021-04-02,Pfizer/BioNTech,148677
Malta,2021-04-09,Johnson&Johnson,9
Malta,2021-04-09,Moderna,11666
Malta,2021-04-09,Oxford/AstraZeneca,79578
Malta,2021-04-09,Pfizer/BioNTech,166159
Malta,2021-04-16,Moderna,13648
Malta,2021-04-16,Oxford/AstraZeneca,90439
Malta,2021-04-16,Pfizer/BioNTech,189276
Malta,2021-04-23,Moderna,18954
Malta,2021-04-23,Oxford/AstraZeneca,107924
Malta,2021-04-23,Pfizer/BioNTech,205114
Malta,2021-04-30,Johnson&Johnson,11
Malta,2021-04-30,Moderna,20295
Malta,2021-04-30,Oxford/AstraZeneca,114658
Malta,2021-04-30,Pfizer/BioNTech,230426
Malta,2021-05-07,Johnson&Johnson,2427
Malta,2021-05-07,Moderna,21943
Malta,2021-05-07,Oxford/AstraZeneca,120509
Malta,2021-05-07,Pfizer/BioNTech,259751
Malta,2021-05-14,Johnson&Johnson,3523
Malta,2021-05-14,Moderna,24677
Malta,2021-05-14,Oxford/AstraZeneca,137262
Malta,2021-05-14,Pfizer/BioNTech,287981
Malta,2021-05-21,Johnson&Johnson,9026
Malta,2021-05-21,Moderna,27080
Malta,2021-05-21,Oxford/AstraZeneca,152792
Malta,2021-05-21,Pfizer/BioNTech,316333
Malta,2021-05-28,Johnson&Johnson,9449
Malta,2021-05-28,Moderna,30369
Malta,2021-05-28,Oxford/AstraZeneca,164278
Malta,2021-05-28,Pfizer/BioNTech,345900
Malta,2021-06-04,Johnson&Johnson,9772
Malta,2021-06-04,Moderna,32350
Malta,2021-06-04,Oxford/AstraZeneca,170116
Malta,2021-06-04,Pfizer/BioNTech,368434
Malta,2021-06-11,Johnson&Johnson,11262
Malta,2021-06-11,Moderna,34727
