location,date,vaccine,total_vaccinations
Netherlands,2021-01-01,Johnson&Johnson,0
Netherlands,2021-01-01,Moderna,0
Netherlands,2021-01-01,Oxford/AstraZeneca,0
Netherlands,2021-01-01,Pfizer/BioNTech,0
Netherlands,2021-01-08,Johnson&Johnson,0
Netherlands,2021-01-08,Moderna,0
Netherlands,2021-01-08,Oxford/AstraZeneca,0
Netherlands,2021-01-08,Pfizer/BioNTech,33755
Netherlands,2021-01-15,Johnson&Johnson,0
Netherlands,2021-01-15,Moderna,0
Netherlands,2021-01-15,Oxford/AstraZeneca,0
Netherlands,2021-01-15,Pfizer/BioNTech,76945
Netherlands,2021-01-22,Johnson&Johnson,0
Netherlands,2021-01-22,Moderna,2572
Netherlands,2021-01-22,Oxford/AstraZeneca,0
Netherlands,2021-01-22,Pfizer/BioNTech,163706
Netherlands,2021-01-29,Johnson&Johnson,0
Netherlands,2021-01-29,Moderna,8883
Netherlands,2021-01-29,Oxford/AstraZeneca,0
Netherlands,2021-01-29,Pfizer/BioNTech,342748
Netherlands,2021-02-05,Johnson&Johnson,0
Netherlands,2021-02-05,Moderna,14873
Netherlands,2021-02-05,Oxford/AstraZeneca,0
Netherlands,2021-02-05,Pfizer/BioNTech,556726
Netherlands,2021-02-12,Johnson&Johnson,0
Netherlands,2021-02-12,Moderna,21226
Netherlands,2021-02-12,Oxford/AstraZeneca,525
Netherlands,2021-02-12,Pfizer/BioNTech,766691
Netherlands,2021-02-19,Johnson&Johnson,0
Netherlands,2021-02-19,Moderna,37220
Netherlands,2021-02-19,Oxford/AstraZeneca,69121
Netherlands,2021-02-19,Pfizer/BioNTech,931881
Netherlands,2021-02-26,Johnson&Johnson,0
Netherlands,2021-02-26,Moderna,56588
Netherlands,2021-02-26,Oxford/AstraZeneca,182019
Netherlands,2021-02-26,Pfizer/BioNTech,1144305
Netherlands,2021-03-05,Johnson&Johnson,0
Netherlands,2021-03-05,Moderna,75073
Netherlands,2021-03-05,Oxford/AstraZeneca,257575
Netherlands,2021-03-05,Pfizer/BioNTech,1344586
Netherlands,2021-03-12,Johnson&Johnson,0
Netherlands,2021-03-12,Moderna,93971
Netherlands,2021-03-12,Oxford/AstraZeneca,358390
Netherlands,2021-03-12,Pfizer/BioNTech,1509989
Netherlands,2021-03-19,Johnson&Johnson,0
Netherlands,2021-03-19,Moderna,114008
Netherlands,2021-03-19,Oxford/AstraZeneca,358390
Netherlands,2021-03-19,Pfizer/BioNTech,1704337
Netherlands,2021-03-26,Johnson&Johnson,0
Netherlands,2021-03-26,Moderna,154729
Netherlands,2021-03-26,Oxford/AstraZeneca,454493
Netherlands,2021-03-26,Pfizer/BioNTech,1865527
Netherlands,2021-04-02,Johnson&Johnson,0
Netherlands,2021-04-02,Moderna,196134
Netherlands,2021-04-02,Oxford/AstraZeneca,575035
Netherlands,2021-04-02,Pfizer/BioNTech,2154409
Netherlands,2021-04-09,Johnson&Johnson,0
Netherlands,2021-04-09,Moderna,230342
Netherlands,2021-04-09,Oxford/AstraZeneca,844627
Netherlands,2021-04-09,Pfizer/BioNTech,2493956
Netherlands,2021-04-16,Johnson&Johnson,0
Netherlands,2021-04-16,Moderna,261749
Netherlands,2021-04-16,Oxford/AstraZeneca,1156635
Netherlands,2021-04-16,Pfizer/BioNTech,2957905
Netherlands,2021-04-23,Johnson&Johnson,8886
Netherlands,2021-04-23,Moderna,295993
Netherlands,2021-04-23,Oxford/AstraZeneca,1263498
Netherlands,2021-04-23,Pfizer/BioNTech,3461845
Netherlands,2021-04-30,Johnson&Johnson,48509
Netherlands,2021-04-30,Moderna,325559
Netherlands,2021-04-30,Oxford/AstraZeneca,1352534
Netherlands,2021-04-30,Pfizer/BioNTech,3990241
Netherlands,2021-05-07,Johnson&Johnson,95475
Netherlands,2021-05-07,Moderna,374397
Netherlands,2021-05-07,Oxford/AstraZeneca,1498416
Netherlands,2021-05-07,Pfizer/BioNTech,4592492
Netherlands,2021-05-14,Johnson&Johnson,124391
Netherlands,2021-05-14,Moderna,451875
Netherlands,2021-05-14,Oxford/AstraZeneca,1688522
Netherlands,2021-05-14,Pfizer/BioNTech,5304281
Netherlands,2021-05-21,Johnson&Johnson,142111
Netherlands,2021-05-21,Moderna,536050
Netherlands,2021-05-21,Oxford/AstraZeneca,1836995
Netherlands,2021-05-21,Pfizer/BioNTech,6086513
Netherlands,2021-05-28,Johnson&Johnson,240286
Netherlands,2021-05-28,Moderna,639415
Netherlands,2021-05-28,Oxford/AstraZeneca,1952686
Netherlands,2021-05-28,Pfizer/BioNTech,6779309
Netherlands,2021-06-04,Johnson&Johnson,389472
Netherlands,2021-06-04,Moderna,781583
Netherlands,2021-06-04,Oxford/AstraZeneca,2088620
Netherlands,2021-06-04,Pfizer/BioNTech,7536451
Netherlands,2021-06-11,Johnson&Johnson,438338
Netherlands,2021-06-11,Moderna,944903
Netherlands,2021-06-11,Oxford/AstraZeneca,2302394
Netherlands,2021-06-11,Pfizer/BioNTech,8773011
Netherlands,2021-06-18,Johnson&Johnson,458401
Netherlands,2021-06-18,Moderna,1075465
Netherlands,2021-06-18,Oxford/AstraZeneca,2477655
Netherlands,2021-06-18,Pfizer/BioNTech,9867306
Netherlands,2021-06-25,Johnson&Johnson,541279
Netherlands,2021-06-25,Moderna,1187042
Netherlands,2021-06-25,Oxford/AstraZeneca,2639149
