location,date,vaccine,total_vaccinations
Netherlands,2021-01-01,Johnson&Johnson,0
Netherlands,2021-01-01,Moderna,0
Netherlands,2021-01-01,Oxford/AstraZeneca,0
Netherlands,2021-01-01,Pfizer/BioNTech,0
Netherlands,2021-01-08,Johnson&Johnson,0
Netherlands,2021-01-08,Moderna,0
Netherlands,2021-01-08,Oxford/AstraZeneca,0
Netherlands,2021-01-08,Pfizer/BioNTech,33759
Netherlands,2021-01-15,Johnson&Johnson,0
Netherlands,2021-01-15,Moderna,0
Netherlands,2021-01-15,Oxford/AstraZeneca,0
Netherlands,2021-01-15,Pfizer/BioNTech,76960
Netherlands,2021-01-22,Johnson&Johnson,0
Netherlands,2021-01-22,Moderna,2572
Netherlands,2021-01-22,Oxford/AstraZeneca,0
Netherlands,2021-01-22,Pfizer/BioNTech,163735
Netherlands,2021-01-29,Johnson&Johnson,0
Netherlands,2021-01-29,Moderna,8883
Netherlands,2021-01-29,Oxford/AstraZeneca,0
Netherlands,2021-01-29,Pfizer/BioNTech,342402
Netherlands,2021-02-05,Johnson&Johnson,0
Netherlands,2021-02-05,Moderna,14873
Netherlands,2021-02-05,Oxford/AstraZeneca,0
Netherlands,2021-02-05,Pfizer/BioNTech,556323
Netherlands,2021-02-12,Johnson&Johnson,0
Netherlands,2021-02-12,Moderna,21226
Netherlands,2021-02-12,Oxford/AstraZeneca,525
Netherlands,2021-02-12,Pfizer/BioNTech,766195
Netherlands,2021-02-19,Johnson&Johnson,0
Netherlands,2021-02-19,Moderna,37220
Netherlands,2021-02-19,Oxford/AstraZeneca,69123
Netherlands,2021-02-19,Pfizer/BioNTech,931397
Netherlands,2021-02-26,Johnson&Johnson,0
Netherlands,2021-02-26,Moderna,56590
Netherlands,2021-02-26,Oxford/AstraZeneca,181905
Netherlands,2021-02-26,Pfizer/BioNTech,1143850
Netherlands,2021-03-05,Johnson&Johnson,0
Netherlands,2021-03-05,Moderna,75076
Netherlands,2021-03-05,Oxford/AstraZeneca,257245
Netherlands,2021-03-05,Pfizer/BioNTech,1344130
Netherlands,2021-03-12,Johnson&Johnson,0
Netherlands,2021-03-12,Moderna,93994
Netherlands,2021-03-12,Oxford/AstraZeneca,357973
Netherlands,2021-03-12,Pfizer/BioNTech,1509538
Netherlands,2021-03-19,Johnson&Johnson,0
Netherlands,2021-03-19,Moderna,114048
Netherlands,2021-03-19,Oxford/AstraZeneca,357973
Netherlands,2021-03-19,Pfizer/BioNTech,1703906
Netherlands,2021-03-26,Johnson&Johnson,0
Netherlands,2021-03-26,Moderna,154772
Netherlands,2021-03-26,Oxford/AstraZeneca,454076
Netherlands,2021-03-26,Pfizer/BioNTech,1865109
Netherlands,2021-04-02,Johnson&Johnson,0
Netherlands,2021-04-02,Moderna,196177
Netherlands,2021-04-02,Oxford/AstraZeneca,574625
Netherlands,2021-04-02,Pfizer/BioNTech,2154106
Netherlands,2021-04-09,Johnson&Johnson,0
Netherlands,2021-04-09,Moderna,230385
Netherlands,2021-04-09,Oxford/AstraZeneca,843976
Netherlands,2021-04-09,Pfizer/BioNTech,2493653
Netherlands,2021-04-16,Johnson&Johnson,0
Netherlands,2021-04-16,Moderna,261802
Netherlands,2021-04-16,Oxford/AstraZeneca,1154718
Netherlands,2021-04-16,Pfizer/BioNTech,2957617
Netherlands,2021-04-23,Johnson&Johnson,8886
Netherlands,2021-04-23,Moderna,296073
Netherlands,2021-04-23,Oxford/AstraZeneca,1260672
Netherlands,2021-04-23,Pfizer/BioNTech,3461581
Netherlands,2021-04-30,Johnson&Johnson,48509
Netherlands,2021-04-30,Moderna,325641
Netherlands,2021-04-30,Oxford/AstraZeneca,1349709
Netherlands,2021-04-30,Pfizer/BioNTech,3990005
Netherlands,2021-05-07,Johnson&Johnson,95474
Netherlands,2021-05-07,Moderna,374479
Netherlands,2021-05-07,Oxford/AstraZeneca,1495111
Netherlands,2021-05-07,Pfizer/BioNTech,4592265
Netherlands,2021-05-14,Johnson&Johnson,124389
Netherlands,2021-05-14,Moderna,451953
Netherlands,2021-05-14,Oxford/AstraZeneca,1684711
Netherlands,2021-05-14,Pfizer/BioNTech,5304056
Netherlands,2021-05-21,Johnson&Johnson,142107
Netherlands,2021-05-21,Moderna,536131
Netherlands,2021-05-21,Oxford/AstraZeneca,1831359
Netherlands,2021-05-21,Pfizer/BioNTech,6086300
Netherlands,2021-05-28,Johnson&Johnson,240283
Netherlands,2021-05-28,Moderna,639493
Netherlands,2021-05-28,Oxford/AstraZeneca,1946114
Netherlands,2021-05-28,Pfizer/BioNTech,6779149
Netherlands,2021-06-04,Johnson&Johnson,389479
Netherlands,2021-06-04,Moderna,781658
Netherlands,2021-06-04,Oxford/AstraZeneca,2079334
Netherlands,2021-06-04,Pfizer/BioNTech,7536357
Netherlands,2021-06-11,Johnson&Johnson,438382
Netherlands,2021-06-11,Moderna,944977
Netherlands,2021-06-11,Oxford/AstraZeneca,2288739
Netherlands,2021-06-11,Pfizer/BioNTech,8772943
Netherlands,2021-06-18,Johnson&Johnson,458463
Netherlands,2021-06-18,Moderna,1075532
Netherlands,2021-06-18,Oxford/AstraZeneca,2460094
Netherlands,2021-06-18,Pfizer/BioNTech,9867313
Netherlands,2021-06-25,Johnson&Johnson,541347
Netherlands,2021-06-25,Moderna,1187109
Netherlands,2021-06-25,Oxford/AstraZeneca,2618021
