date,indicator,value,entity
2020-04-02,Daily ICU occupancy,1813.0,United Kingdom
2020-04-03,Daily ICU occupancy,2120.0,United Kingdom
2020-04-04,Daily ICU occupancy,2309.0,United Kingdom
2020-04-05,Daily ICU occupancy,2469.0,United Kingdom
2020-04-06,Daily ICU occupancy,2644.0,United Kingdom
2020-04-07,Daily ICU occupancy,2864.0,United Kingdom
2020-04-08,Daily ICU occupancy,2967.0,United Kingdom
2020-04-09,Daily ICU occupancy,2963.0,United Kingdom
2020-04-10,Daily ICU occupancy,3228.0,United Kingdom
2020-04-11,Daily ICU occupancy,3274.0,United Kingdom
2020-04-12,Daily ICU occupancy,3301.0,United Kingdom
2020-04-13,Daily ICU occupancy,3277.0,United Kingdom
2020-04-14,Daily ICU occupancy,3234.0,United Kingdom
2020-04-15,Daily ICU occupancy,3228.0,United Kingdom
2020-04-16,Daily ICU occupancy,3222.0,United Kingdom
2020-04-17,Daily ICU occupancy,3162.0,United Kingdom
2020-04-18,Daily ICU occupancy,3247.0,United Kingdom
2020-04-19,Daily ICU occupancy,3176.0,United Kingdom
2020-04-20,Daily ICU occupancy,3130.0,United Kingdom
2020-04-21,Daily ICU occupancy,3036.0,United Kingdom
2020-04-22,Daily ICU occupancy,2964.0,United Kingdom
2020-04-23,Daily ICU occupancy,2867.0,United Kingdom
2020-04-24,Daily ICU occupancy,2703.0,United Kingdom
2020-04-25,Daily ICU occupancy,2702.0,United Kingdom
2020-04-26,Daily ICU occupancy,2580.0,United Kingdom
2020-04-27,Daily ICU occupancy,2460.0,United Kingdom
2020-04-28,Daily ICU occupancy,2353.0,United Kingdom
2020-04-29,Daily ICU occupancy,2286.0,United Kingdom
2020-04-30,Daily ICU occupancy,2224.0,United Kingdom
2020-05-01,Daily ICU occupancy,2178.0,United Kingdom
2020-05-02,Daily ICU occupancy,2068.0,United Kingdom
2020-05-03,Daily ICU occupancy,2009.0,United Kingdom
2020-05-04,Daily ICU occupancy,1936.0,United Kingdom
2020-05-05,Daily ICU occupancy,1874.0,United Kingdom
2020-05-06,Daily ICU occupancy,1802.0,United Kingdom
2020-05-07,Daily ICU occupancy,1685.0,United Kingdom
2020-05-08,Daily ICU occupancy,1642.0,United Kingdom
2020-05-09,Daily ICU occupancy,1585.0,United Kingdom
2020-05-10,Daily ICU occupancy,1538.0,United Kingdom
2020-05-11,Daily ICU occupancy,1485.0,United Kingdom
2020-05-12,Daily ICU occupancy,1414.0,United Kingdom
2020-05-13,Daily ICU occupancy,1342.0,United Kingdom
2020-05-14,Daily ICU occupancy,1314.0,United Kingdom
2020-05-15,Daily ICU occupancy,1337.0,United Kingdom
2020-05-16,Daily ICU occupancy,1234.0,United Kingdom
2020-05-17,Daily ICU occupancy,1196.0,United Kingdom
2020-05-18,Daily ICU occupancy,1141.0,United Kingdom
2020-05-19,Daily ICU occupancy,1106.0,United Kingdom
2020-05-20,Daily ICU occupancy,1034.0,United Kingdom
2020-05-21,Daily ICU occupancy,1008.0,United Kingdom
2020-05-22,Daily ICU occupancy,964.0,United Kingdom
2020-05-23,Daily ICU occupancy,928.0,United Kingdom
2020-05-24,Daily ICU occupancy,886.0,United Kingdom
2020-05-25,Daily ICU occupancy,863.0,United Kingdom
2020-05-26,Daily ICU occupancy,847.0,United Kingdom
2020-05-27,Daily ICU occupancy,783.0,United Kingdom
2020-05-28,Daily ICU occupancy,751.0,United Kingdom
2020-05-29,Daily ICU occupancy,719.0,United Kingdom
2020-05-30,Daily ICU occupancy,704.0,United Kingdom
2020-05-31,Daily ICU occupancy,679.0,United Kingdom
2020-06-01,Daily ICU occupancy,652.0,United Kingdom
2020-06-02,Daily ICU occupancy,636.0,United Kingdom
2020-06-03,Daily ICU occupancy,602.0,United Kingdom
2020-06-04,Daily ICU occupancy,571.0,United Kingdom
2020-06-05,Daily ICU occupancy,554.0,United Kingdom
2020-06-06,Daily ICU occupancy,540.0,United Kingdom
2020-06-07,Daily ICU occupancy,515.0,United Kingdom
2020-06-08,Daily ICU occupancy,509.0,United Kingdom
2020-06-09,Daily ICU occupancy,491.0,United Kingdom
2020-06-10,Daily ICU occupancy,439.0,United Kingdom
2020-06-11,Daily ICU occupancy,390.0,United Kingdom
2020-06-12,Daily ICU occupancy,393.0,United Kingdom
2020-06-13,Daily ICU occupancy,390.0,United Kingdom
2020-06-14,Daily ICU occupancy,393.0,United Kingdom
2020-06-15,Daily ICU occupancy,385.0,United Kingdom
2020-06-16,Daily ICU occupancy,378.0,United Kingdom
2020-06-17,Daily ICU occupancy,357.0,United Kingdom
2020-06-18,Daily ICU occupancy,352.0,United Kingdom
2020-06-19,Daily ICU occupancy,330.0,United Kingdom
2020-06-20,Daily ICU occupancy,346.0,United Kingdom
2020-06-21,Daily ICU occupancy,310.0,United Kingdom
2020-06-22,Daily ICU occupancy,340.0,United Kingdom
2020-06-23,Daily ICU occupancy,311.0,United Kingdom
2020-06-24,Daily ICU occupancy,316.0,United Kingdom
2020-06-25,Daily ICU occupancy,276.0,United Kingdom
2020-06-26,Daily ICU occupancy,268.0,United Kingdom
2020-06-27,Daily ICU occupancy,270.0,United Kingdom
2020-06-28,Daily ICU occupancy,270.0,United Kingdom
2020-06-29,Daily ICU occupancy,262.0,United Kingdom
2020-06-30,Daily ICU occupancy,279.0,United Kingdom
2020-07-01,Daily ICU occupancy,259.0,United Kingdom
2020-07-02,Daily ICU occupancy,239.0,United Kingdom
2020-07-03,Daily ICU occupancy,231.0,United Kingdom
2020-07-04,Daily ICU occupancy,221.0,United Kingdom
2020-07-05,Daily ICU occupancy,217.0,United Kingdom
2020-07-06,Daily ICU occupancy,209.0,United Kingdom
2020-07-07,Daily ICU occupancy,197.0,United Kingdom
2020-07-08,Daily ICU occupancy,185.0,United Kingdom
2020-07-09,Daily ICU occupancy,188.0,United Kingdom
2020-07-10,Daily ICU occupancy,191.0,United Kingdom
2020-07-11,Daily ICU occupancy,168.0,United Kingdom
2020-07-12,Daily ICU occupancy,159.0,United Kingdom
2020-07-13,Daily ICU occupancy,162.0,United Kingdom
2020-07-14,Daily ICU occupancy,145.0,United Kingdom
2020-07-15,Daily ICU occupancy,153.0,United Kingdom
2020-07-16,Daily ICU occupancy,142.0,United Kingdom
2020-07-17,Daily ICU occupancy,143.0,United Kingdom
2020-07-18,Daily ICU occupancy,137.0,United Kingdom
2020-07-19,Daily ICU occupancy,131.0,United Kingdom
2020-07-20,Daily ICU occupancy,129.0,United Kingdom
2020-07-21,Daily ICU occupancy,137.0,United Kingdom
2020-07-22,Daily ICU occupancy,110.0,United Kingdom
2020-07-23,Daily ICU occupancy,111.0,United Kingdom
2020-07-24,Daily ICU occupancy,104.0,United Kingdom
2020-07-25,Daily ICU occupancy,93.0,United Kingdom
2020-07-26,Daily ICU occupancy,92.0,United Kingdom
2020-07-27,Daily ICU occupancy,97.0,United Kingdom
