Country,Year,0-17_fully,0-18_fully,0-4_fully,0-9_fully,10-14_fully,10-19_fully,12-15_fully,12-17_fully,15-17_fully,16-19_fully,18-24_fully,18-29_fully,20-29_fully,25-34_fully,25-49_fully,30-39_fully,35-44_fully,40-49_fully,45-54_fully,5-11_fully,5-9_fully,50-54_fully,50-59_fully,55-59_fully,55-64_fully,60-64_fully,60-69_fully,65-69_fully,65-74_fully,70-74_fully,70-79_fully,75+_fully,75-79_fully,80+_fully,80-89_fully,90-99_fully,0-17_start,0-18_start,0-4_start,0-9_start,10-14_start,10-19_start,12-15_start,12-17_start,15-17_start,16-19_start,18-24_start,18-29_start,20-29_start,25-34_start,25-49_start,30-39_start,35-44_start,40-49_start,45-54_start,5-11_start,5-9_start,50-54_start,50-59_start,55-59_start,55-64_start,60-64_start,60-69_start,65-69_start,65-74_start,70-74_start,70-79_start,75+_start,75-79_start,80+_start,80-89_start,90-99_start,0-17_booster,0-18_booster,0-4_booster,0-9_booster,10-14_booster,10-19_booster,12-15_booster,12-17_booster,15-17_booster,16-19_booster,18-24_booster,18-29_booster,20-29_booster,25-34_booster,25-49_booster,30-39_booster,35-44_booster,40-49_booster,45-54_booster,5-11_booster,5-9_booster,50-54_booster,50-59_booster,55-59_booster,55-64_booster,60-64_booster,60-69_booster,65-69_booster,65-74_booster,70-74_booster,70-79_booster,75+_booster,75-79_booster,80+_booster,80-89_booster,90-99_booster,0-17_partly,0-18_partly,0-4_partly,0-9_partly,10-14_partly,10-19_partly,12-15_partly,12-17_partly,15-17_partly,16-19_partly,18-24_partly,18-29_partly,20-29_partly,25-34_partly,25-49_partly,30-39_partly,35-44_partly,40-49_partly,45-54_partly,5-11_partly,5-9_partly,50-54_partly,50-59_partly,55-59_partly,55-64_partly,60-64_partly,60-69_partly,65-69_partly,65-74_partly,70-74_partly,70-79_partly,75+_partly,75-79_partly,80+_partly,80-89_partly,90-99_partly
Austria,7,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,,,,,0.01,,0.13,,,,0.39,,,,,,0.0,,0.54,,,,0.33,,,,0.27,,,1.24,,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,,,,,0.01,,0.13,,,,0.39,,,,,,0.0,,0.54,,,,0.33,,,,0.27,,,1.24,,
Austria,14,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,0.01,,,,0.0,,,,0.01,,,0.02,,,,,0.0,,0.0,,,,0.04,,0.45,,,,1.19,,,,,,0.0,,1.82,,,,1.31,,,,1.3,,,6.09,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,0.04,,0.45,,,,1.19,,,,,,0.0,,1.81,,,,1.31,,,,1.29,,,6.07,,
Austria,21,,,0.0,,0.0,,,,0.0,,0.01,,,,0.04,,,,,,0.0,,0.07,,,,0.06,,,,0.07,,,0.32,,,,,0.0,,0.0,,,,0.05,,0.87,,,,2.18,,,,,,0.0,,3.16,,,,2.13,,,,2.16,,,11.78,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,0.05,,0.86,,,,2.14,,,,,,0.0,,3.09,,,,2.07,,,,2.09,,,11.46,,
Austria,28,,,0.0,,0.0,,,,0.01,,0.1,,,,0.25,,,,,,0.0,,0.37,,,,0.25,,,,0.23,,,1.05,,,,,0.0,,0.0,,,,0.05,,1.04,,,,2.49,,,,,,0.0,,3.56,,,,2.4,,,,2.38,,,14.16,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,0.04,,0.94,,,,2.24,,,,,,0.0,,3.19,,,,2.15,,,,2.15,,,13.11,,
Austria,35,,,0.0,,0.0,,,,0.03,,0.41,,,,1.07,,,,,,0.0,,1.61,,,,1.14,,,,1.1,,,5.14,,,,,0.0,,0.0,,,,0.06,,1.16,,,,2.7,,,,,,0.0,,3.87,,,,2.59,,,,2.54,,,14.97,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,0.03,,0.75,,,,1.63,,,,,,0.0,,2.26,,,,1.45,,,,1.44,,,9.83,,
Austria,42,,,0.0,,0.0,,,,0.04,,0.8,,,,2.02,,,,,,0.0,,2.92,,,,1.95,,,,1.89,,,10.35,,,,,0.0,,0.0,,,,0.07,,1.53,,,,3.06,,,,,,0.0,,4.33,,,,2.86,,,,2.75,,,15.9,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,0.03,,0.73,,,,1.04,,,,,,0.0,,1.41,,,,0.91,,,,0.86,,,5.55,,
Austria,49,,,0.0,,0.0,,,,0.05,,1.0,,,,2.37,,,,,,0.0,,3.41,,,,2.26,,,,2.26,,,13.46,,,,,0.0,,0.0,,,,0.08,,2.02,,,,3.74,,,,,,0.0,,5.17,,,,3.37,,,,3.08,,,20.22,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,0.03,,1.02,,,,1.37,,,,,,0.0,,1.76,,,,1.11,,,,0.82,,,6.76,,
Austria,56,,,0.0,,0.0,,,,0.06,,1.13,,,,2.63,,,,,,0.0,,3.79,,,,2.53,,,,2.44,,,14.14,,,,,0.0,,0.0,,,,0.1,,2.97,,,,4.83,,,,,,0.0,,6.48,,,,4.24,,,,3.57,,,27.86,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,0.04,,1.84,,,,2.2,,,,,,0.0,,2.69,,,,1.71,,,,1.13,,,13.72,,
Austria,63,,,0.0,,0.0,,,,0.06,,1.21,,,,2.78,,,,,,0.0,,3.99,,,,2.69,,,,2.6,,,15.07,,,,,0.0,,0.0,,,,0.12,,3.76,,,,5.91,,,,,,0.0,,7.95,,,,5.37,,,,4.63,,,43.93,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,0.06,,2.55,,,,3.13,,,,,,0.0,,3.96,,,,2.68,,,,2.03,,,28.86,,
Austria,70,,,0.0,,0.0,,,,0.07,,1.26,,,,2.91,,,,,,0.0,,4.19,,,,2.88,,,,2.88,,,19.25,,,,,0.0,,0.01,,,,0.39,,5.16,,,,7.96,,,,,,0.0,,10.46,,,,8.18,,,,8.22,,,57.58,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.01,,,,0.32,,3.9,,,,5.05,,,,,,0.0,,6.27,,,,5.3,,,,5.34,,,38.33,,
