location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Poland,2021-01-01,15,17,0.0,0.0,0.0
Poland,2021-01-01,18,24,0.0,0.0,0.0
Poland,2021-01-01,25,49,0.01,0.0,0.0
Poland,2021-01-01,50,59,0.01,0.0,0.0
Poland,2021-01-01,60,69,0.01,0.0,0.0
Poland,2021-01-01,70,79,0.0,0.0,0.0
Poland,2021-01-01,80,,0.0,0.0,0.0
Poland,2021-01-08,15,17,0.01,0.0,0.0
Poland,2021-01-08,18,24,0.32,0.0,0.0
Poland,2021-01-08,25,49,0.7,0.0,0.0
Poland,2021-01-08,50,59,1.37,0.0,0.0
Poland,2021-01-08,60,69,0.66,0.0,0.0
Poland,2021-01-08,70,79,0.25,0.0,0.0
Poland,2021-01-08,80,,0.13,0.0,0.0
Poland,2021-01-15,15,17,0.03,0.0,0.0
Poland,2021-01-15,18,24,1.14,0.0,0.0
Poland,2021-01-15,25,49,1.61,0.0,0.0
Poland,2021-01-15,50,59,2.91,0.0,0.0
Poland,2021-01-15,60,69,1.44,0.0,0.0
Poland,2021-01-15,70,79,0.55,0.0,0.0
Poland,2021-01-15,80,,0.29,0.0,0.0
Poland,2021-01-22,10,14,0.0,0.0,0.0
Poland,2021-01-22,15,17,0.04,0.0,0.0
Poland,2021-01-22,18,24,1.5,0.04,0.0
Poland,2021-01-22,25,49,2.08,0.16,0.0
Poland,2021-01-22,50,59,3.67,0.32,0.0
Poland,2021-01-22,60,69,2.02,0.16,0.0
Poland,2021-01-22,70,79,1.21,0.06,0.0
Poland,2021-01-22,80,,2.48,0.03,0.0
Poland,2021-01-29,10,14,0.0,0.0,0.0
Poland,2021-01-29,15,17,0.04,0.01,0.0
Poland,2021-01-29,18,24,1.84,0.29,0.0
Poland,2021-01-29,25,49,2.45,0.67,0.0
Poland,2021-01-29,50,59,4.19,1.31,0.0
Poland,2021-01-29,60,69,2.34,0.64,0.0
Poland,2021-01-29,70,79,2.46,0.24,0.0
Poland,2021-01-29,80,,13.23,0.13,0.0
Poland,2021-02-05,0,4,0.0,0.0,0.0
Poland,2021-02-05,10,14,0.0,0.0,0.0
Poland,2021-02-05,15,17,0.04,0.02,0.0
Poland,2021-02-05,18,24,1.97,1.04,0.0
Poland,2021-02-05,25,49,2.56,1.51,0.0
Poland,2021-02-05,50,59,4.35,2.76,0.0
Poland,2021-02-05,60,69,2.54,1.38,0.0
Poland,2021-02-05,70,79,4.71,0.53,0.0
Poland,2021-02-05,80,,21.67,0.29,0.0
Poland,2021-02-12,0,4,0.0,0.0,0.0
Poland,2021-02-12,10,14,0.0,0.0,0.0
Poland,2021-02-12,15,17,0.05,0.04,0.0
Poland,2021-02-12,18,24,2.09,1.38,0.0
Poland,2021-02-12,25,49,2.77,2.0,0.0
Poland,2021-02-12,50,59,4.65,3.57,0.0
Poland,2021-02-12,60,69,2.81,1.97,0.0
Poland,2021-02-12,70,79,8.48,1.17,0.0
Poland,2021-02-12,80,,28.32,2.39,0.0
Poland,2021-02-19,0,4,0.0,0.0,0.0
Poland,2021-02-19,10,14,0.0,0.0,0.0
Poland,2021-02-19,15,17,0.05,0.04,0.0
Poland,2021-02-19,18,24,2.22,1.7,0.0
Poland,2021-02-19,25,49,3.3,2.34,0.0
Poland,2021-02-19,50,59,5.57,4.05,0.0
Poland,2021-02-19,60,69,3.1,2.27,0.0
Poland,2021-02-19,70,79,12.09,2.21,0.0
Poland,2021-02-19,80,,32.61,12.28,0.0
Poland,2021-02-26,0,4,0.0,0.0,0.0
Poland,2021-02-26,10,14,0.0,0.0,0.0
Poland,2021-02-26,15,17,0.05,0.04,0.0
Poland,2021-02-26,18,24,2.32,1.9,0.0
Poland,2021-02-26,25,49,4.0,2.51,0.0
Poland,2021-02-26,50,59,6.82,4.28,0.0
Poland,2021-02-26,60,69,3.61,2.49,0.0
Poland,2021-02-26,70,79,16.3,4.35,0.0
Poland,2021-02-26,80,,36.18,20.89,0.0
Poland,2021-03-05,0,4,0.0,0.0,0.0
Poland,2021-03-05,10,14,0.0,0.0,0.0
Poland,2021-03-05,15,17,0.05,0.04,0.0
Poland,2021-03-05,18,24,2.45,2.02,0.0
Poland,2021-03-05,25,49,4.81,2.63,0.0
Poland,2021-03-05,50,59,8.11,4.43,0.0
Poland,2021-03-05,60,69,4.29,2.74,0.0
Poland,2021-03-05,70,79,20.98,7.72,0.0
Poland,2021-03-05,80,,39.23,27.43,0.0
Poland,2021-03-12,0,4,0.0,0.0,0.0
Poland,2021-03-12,10,14,0.0,0.0,0.0
Poland,2021-03-12,15,17,0.05,0.05,0.0
Poland,2021-03-12,18,24,2.87,2.09,0.0
Poland,2021-03-12,25,49,5.31,2.7,0.0
Poland,2021-03-12,5,9,0.0,0.0,0.0
Poland,2021-03-12,50,59,8.75,4.52,0.0
Poland,2021-03-12,60,69,5.1,2.92,0.0
Poland,2021-03-12,70,79,26.82,10.63,0.0
Poland,2021-03-12,80,,42.46,31.4,0.0
Poland,2021-03-19,0,4,0.0,0.0,0.0
Poland,2021-03-19,10,14,0.0,0.0,0.0
Poland,2021-03-19,15,17,0.06,0.05,0.0
Poland,2021-03-19,18,24,3.18,2.13,0.0
Poland,2021-03-19,25,49,5.56,2.75,0.0
Poland,2021-03-19,5,9,0.0,0.0,0.0
Poland,2021-03-19,50,59,9.08,4.6,0.0
Poland,2021-03-19,60,69,6.08,3.14,0.0
Poland,2021-03-19,70,79,32.63,14.16,0.0
Poland,2021-03-19,80,,45.1,34.72,0.0
Poland,2021-03-26,0,4,0.0,0.0,0.0
Poland,2021-03-26,10,14,0.0,0.0,0.0
Poland,2021-03-26,15,17,0.07,0.05,0.0
Poland,2021-03-26,18,24,3.36,2.16,0.0
Poland,2021-03-26,25,49,5.91,2.8,0.0
Poland,2021-03-26,5,9,0.0,0.0,0.0
Poland,2021-03-26,50,59,9.64,4.67,0.0
Poland,2021-03-26,60,69,12.7,3.42,0.0
Poland,2021-03-26,70,79,39.59,18.75,0.0
Poland,2021-03-26,80,,47.81,37.99,0.0
Poland,2021-04-02,0,4,0.0,0.0,0.0
Poland,2021-04-02,10,14,0.0,0.0,0.0
Poland,2021-04-02,15,17,0.08,0.05,0.0
Poland,2021-04-02,18,24,3.59,2.17,0.0
Poland,2021-04-02,25,49,6.49,2.83,0.0
Poland,2021-04-02,5,9,0.0,0.0,0.0
Poland,2021-04-02,50,59,10.55,4.71,0.0
Poland,2021-04-02,60,69,19.85,3.55,0.0
Poland,2021-04-02,70,79,45.75,20.66,0.0
Poland,2021-04-02,80,,49.94,38.92,0.0
Poland,2021-04-09,0,4,0.0,0.0,0.0
Poland,2021-04-09,10,14,0.0,0.0,0.0
Poland,2021-04-09,15,17,0.08,0.05,0.0
Poland,2021-04-09,18,24,3.94,2.18,0.0
Poland,2021-04-09,25,49,7.29,2.85,0.0
Poland,2021-04-09,5,9,0.0,0.0,0.0
Poland,2021-04-09,50,59,13.17,4.74,0.0
Poland,2021-04-09,60,69,28.82,3.62,0.0
Poland,2021-04-09,70,79,54.78,21.33,0.0
Poland,2021-04-09,80,,52.44,39.22,0.0
Poland,2021-04-16,0,4,0.0,0.0,0.0
Poland,2021-04-16,10,14,0.0,0.0,0.0
Poland,2021-04-16,15,17,0.09,0.05,0.0
Poland,2021-04-16,18,24,4.28,2.21,0.0
Poland,2021-04-16,25,49,8.11,2.9,0.0
Poland,2021-04-16,5,9,0.0,0.0,0.0
Poland,2021-04-16,50,59,17.54,4.93,0.0
Poland,2021-04-16,60,69,37.76,4.26,0.0
Poland,2021-04-16,70,79,61.67,25.65,0.0
Poland,2021-04-16,80,,54.27,41.68,0.0
Poland,2021-04-23,0,4,0.0,0.0,0.0
Poland,2021-04-23,10,14,0.0,0.0,0.0
Poland,2021-04-23,15,17,0.11,0.06,0.0
Poland,2021-04-23,18,24,4.72,2.28,0.0
Poland,2021-04-23,25,49,9.37,3.12,0.0
Poland,2021-04-23,5,9,0.0,0.0,0.0
Poland,2021-04-23,50,59,25.95,5.62,0.0
Poland,2021-04-23,60,69,45.29,5.25,0.0
Poland,2021-04-23,70,79,67.11,31.86,0.0
Poland,2021-04-23,80,,55.87,44.5,0.0
Poland,2021-04-30,0,4,0.0,0.0,0.0
Poland,2021-04-30,10,14,0.0,0.0,0.0
Poland,2021-04-30,15,17,0.14,0.06,0.0
Poland,2021-04-30,18,24,5.31,2.41,0.0
Poland,2021-04-30,25,49,12.98,3.77,0.0
Poland,2021-04-30,5,9,0.0,0.0,0.0
Poland,2021-04-30,50,59,32.62,6.74,0.0
Poland,2021-04-30,60,69,51.24,6.55,0.0
Poland,2021-04-30,70,79,71.05,38.64,0.0
Poland,2021-04-30,80,,57.11,47.26,0.0
Poland,2021-05-07,0,4,0.0,0.0,0.0
Poland,2021-05-07,10,14,0.0,0.0,0.0
Poland,2021-05-07,15,17,0.17,0.07,0.0
Poland,2021-05-07,18,24,6.94,2.61,0.0
Poland,2021-05-07,25,49,18.5,4.71,0.0
Poland,2021-05-07,5,9,0.0,0.0,0.0
Poland,2021-05-07,50,59,37.56,8.37,0.0
Poland,2021-05-07,60,69,54.66,9.5,0.0
Poland,2021-05-07,70,79,72.91,45.11,0.0
Poland,2021-05-07,80,,57.85,49.44,0.0
Poland,2021-05-14,0,4,0.0,0.0,0.0
Poland,2021-05-14,10,14,0.0,0.0,0.0
Poland,2021-05-14,15,17,0.23,0.08,0.0
Poland,2021-05-14,18,24,12.29,3.16,0.0
Poland,2021-05-14,25,49,24.16,6.25,0.0
Poland,2021-05-14,5,9,0.0,0.0,0.0
Poland,2021-05-14,50,59,41.45,11.63,0.0
Poland,2021-05-14,60,69,57.17,14.47,0.0
Poland,2021-05-14,70,79,74.24,54.25,0.0
Poland,2021-05-14,80,,58.45,52.03,0.0
Poland,2021-05-21,0,4,0.0,0.0,0.0
Poland,2021-05-21,10,14,0.0,0.0,0.0
Poland,2021-05-21,15,17,3.31,0.1,0.0
Poland,2021-05-21,18,24,17.49,4.02,0.0
Poland,2021-05-21,25,49,28.82,7.76,0.0
Poland,2021-05-21,5,9,0.0,0.0,0.0
Poland,2021-05-21,50,59,45.26,15.65,0.0
Poland,2021-05-21,60,69,59.57,21.1,0.0
Poland,2021-05-21,70,79,75.46,61.46,0.0
Poland,2021-05-21,80,,59.01,53.97,0.0
Poland,2021-05-28,0,4,0.0,0.0,0.0
Poland,2021-05-28,10,14,0.0,0.0,0.0
Poland,2021-05-28,15,17,5.51,0.13,0.0
Poland,2021-05-28,18,24,21.32,5.61,0.0
Poland,2021-05-28,25,49,32.23,10.11,0.0
Poland,2021-05-28,5,9,0.0,0.0,0.0
Poland,2021-05-28,50,59,48.09,23.08,0.0
Poland,2021-05-28,60,69,61.35,28.37,0.0
Poland,2021-05-28,70,79,76.48,66.8,0.0
Poland,2021-05-28,80,,59.49,55.55,0.0
Poland,2021-06-04,0,4,0.0,0.0,0.0
Poland,2021-06-04,10,14,0.01,0.0,0.0
Poland,2021-06-04,15,17,10.48,0.16,0.0
Poland,2021-06-04,18,24,26.6,7.13,0.0
Poland,2021-06-04,25,49,35.96,13.86,0.0
Poland,2021-06-04,5,9,0.0,0.0,0.0
Poland,2021-06-04,50,59,50.72,29.96,0.0
Poland,2021-06-04,60,69,63.14,34.94,0.0
Poland,2021-06-04,70,79,77.55,70.93,0.0
Poland,2021-06-04,80,,60.02,56.84,0.0
Poland,2021-06-11,0,4,0.0,0.0,0.0
Poland,2021-06-11,10,14,4.43,0.01,0.0
Poland,2021-06-11,15,17,18.25,0.44,0.0
Poland,2021-06-11,18,24,30.71,9.41,0.0
Poland,2021-06-11,25,49,39.16,19.29,0.0
Poland,2021-06-11,5,9,0.0,0.0,0.0
Poland,2021-06-11,50,59,53.08,35.34,0.0
Poland,2021-06-11,60,69,64.73,42.9,0.0
Poland,2021-06-11,70,79,78.54,73.1,0.0
Poland,2021-06-11,80,,60.58,57.71,0.0
Poland,2021-06-18,0,4,0.0,0.0,0.0
Poland,2021-06-18,10,14,6.86,0.01,0.0
Poland,2021-06-18,15,17,23.0,1.2,0.0
Poland,2021-06-18,18,24,33.5,13.91,0.0
Poland,2021-06-18,25,49,41.36,24.57,0.0
Poland,2021-06-18,5,9,0.0,0.0,0.0
Poland,2021-06-18,50,59,54.73,39.35,0.0
Poland,2021-06-18,60,69,65.9,49.55,0.0
Poland,2021-06-18,70,79,79.31,74.57,0.0
Poland,2021-06-18,80,,61.03,58.37,0.0
Poland,2021-06-25,0,4,0.0,0.0,0.0
Poland,2021-06-25,10,14,8.5,0.02,0.0
Poland,2021-06-25,15,17,26.27,4.3,0.0
Poland,2021-06-25,18,24,35.54,19.27,0.0
Poland,2021-06-25,25,49,43.0,29.56,0.0
Poland,2021-06-25,5,9,0.0,0.0,0.0
Poland,2021-06-25,50,59,55.96,43.79,0.0
Poland,2021-06-25,60,69,66.81,55.67,0.0
Poland,2021-06-25,70,79,79.91,75.95,0.0
Poland,2021-06-25,80,,61.39,59.0,0.0
Poland,2021-07-02,0,4,0.0,0.0,0.0
Poland,2021-07-02,10,14,10.04,1.89,0.0
Poland,2021-07-02,15,17,29.21,9.56,0.0
Poland,2021-07-02,18,24,37.26,23.74,0.0
Poland,2021-07-02,25,49,44.38,33.52,0.0
Poland,2021-07-02,5,9,0.0,0.0,0.0
Poland,2021-07-02,50,59,57.08,47.62,0.0
Poland,2021-07-02,60,69,67.64,59.92,0.0
Poland,2021-07-02,70,79,80.48,77.16,0.0
Poland,2021-07-02,80,,61.73,59.58,0.0
Poland,2021-07-09,0,4,0.0,0.0,0.0
Poland,2021-07-09,10,14,11.14,4.19,0.0
Poland,2021-07-09,15,17,31.02,16.58,0.0
Poland,2021-07-09,18,24,38.55,29.33,0.0
Poland,2021-07-09,25,49,45.44,37.89,0.0
Poland,2021-07-09,5,9,0.0,0.0,0.0
Poland,2021-07-09,50,59,57.9,51.43,0.0
Poland,2021-07-09,60,69,68.21,63.11,0.0
Poland,2021-07-09,70,79,80.87,78.53,0.0
Poland,2021-07-09,80,,61.97,60.3,0.0
Poland,2021-07-16,0,4,0.0,0.0,0.0
Poland,2021-07-16,10,14,12.18,6.91,0.0
Poland,2021-07-16,15,17,32.79,22.82,0.0
Poland,2021-07-16,18,24,39.82,33.89,0.0
Poland,2021-07-16,25,49,46.53,41.56,0.0
Poland,2021-07-16,5,9,0.0,0.0,0.0
Poland,2021-07-16,50,59,58.77,54.41,0.0
Poland,2021-07-16,60,69,68.81,65.33,0.0
Poland,2021-07-16,70,79,81.29,79.82,0.0
Poland,2021-07-16,80,,62.27,61.0,0.0
Poland,2021-07-23,0,4,0.0,0.0,0.0
Poland,2021-07-23,10,14,13.07,8.81,0.0
Poland,2021-07-23,15,17,34.31,26.9,0.0
Poland,2021-07-23,18,24,40.98,36.78,0.0
Poland,2021-07-23,25,49,47.54,44.09,0.0
Poland,2021-07-23,5,9,0.0,0.0,0.0
Poland,2021-07-23,50,59,59.57,56.51,0.0
Poland,2021-07-23,60,69,69.36,66.95,0.0
Poland,2021-07-23,70,79,81.69,80.69,0.0
Poland,2021-07-23,80,,62.55,61.5,0.0
Poland,2021-07-30,0,4,0.0,0.0,0.0
Poland,2021-07-30,10,14,13.95,10.21,0.0
Poland,2021-07-30,15,17,35.79,29.55,0.0
Poland,2021-07-30,18,24,42.16,38.9,0.0
Poland,2021-07-30,25,49,48.57,45.88,0.0
Poland,2021-07-30,5,9,0.0,0.0,0.0
Poland,2021-07-30,50,59,60.37,57.99,0.0
Poland,2021-07-30,60,69,69.91,68.05,0.0
Poland,2021-07-30,70,79,82.08,81.31,0.0
Poland,2021-07-30,80,,62.84,61.87,0.0
Poland,2021-08-06,0,4,0.0,0.0,0.0
Poland,2021-08-06,10,14,14.81,11.35,0.0
Poland,2021-08-06,15,17,37.17,31.65,0.0
Poland,2021-08-06,18,24,43.2,40.4,0.0
Poland,2021-08-06,25,49,49.5,47.19,0.0
Poland,2021-08-06,5,9,0.0,0.0,0.0
Poland,2021-08-06,50,59,61.09,59.07,0.0
Poland,2021-08-06,60,69,70.36,68.82,0.0
Poland,2021-08-06,70,79,82.4,81.84,0.0
Poland,2021-08-06,80,,63.08,62.22,0.0
Poland,2021-08-13,0,4,0.0,0.0,0.0
Poland,2021-08-13,10,14,15.53,12.22,0.0
Poland,2021-08-13,15,17,38.32,33.21,0.0
Poland,2021-08-13,18,24,44.11,41.57,0.0
Poland,2021-08-13,25,49,50.31,48.22,0.0
Poland,2021-08-13,5,9,0.0,0.0,0.0
Poland,2021-08-13,50,59,61.74,59.92,0.0
Poland,2021-08-13,60,69,70.79,69.41,0.0
Poland,2021-08-13,70,79,82.72,82.26,0.0
Poland,2021-08-13,80,,63.31,62.5,0.0
Poland,2021-08-20,0,4,0.0,0.0,0.0
Poland,2021-08-20,10,14,16.18,13.11,0.0
Poland,2021-08-20,15,17,39.28,34.75,0.0
Poland,2021-08-20,18,24,44.9,42.65,0.0
Poland,2021-08-20,25,49,51.0,49.17,0.0
Poland,2021-08-20,5,9,0.0,0.0,0.0
Poland,2021-08-20,50,59,62.25,60.68,0.0
Poland,2021-08-20,60,69,71.12,69.94,0.0
Poland,2021-08-20,70,79,82.95,82.65,0.0
Poland,2021-08-20,80,,63.49,62.79,0.0
Poland,2021-08-27,0,4,0.0,0.0,0.0
Poland,2021-08-27,10,14,16.91,14.03,0.0
Poland,2021-08-27,15,17,40.27,36.28,0.0
Poland,2021-08-27,18,24,45.63,43.66,0.0
Poland,2021-08-27,25,49,51.67,50.07,0.0
Poland,2021-08-27,5,9,0.0,0.0,0.0
Poland,2021-08-27,50,59,62.75,61.39,0.0
Poland,2021-08-27,60,69,71.44,70.41,0.0
Poland,2021-08-27,70,79,83.17,82.99,0.0
Poland,2021-08-27,80,,63.65,63.04,0.0
Poland,2021-09-03,0,4,0.0,0.0,0.0
Poland,2021-09-03,10,14,17.44,14.84,0.0
Poland,2021-09-03,15,17,40.93,37.57,0.0
Poland,2021-09-03,18,24,46.26,44.49,0.0
Poland,2021-09-03,25,49,52.21,50.78,0.0
Poland,2021-09-03,5,9,0.0,0.0,0.0
Poland,2021-09-03,50,59,63.12,61.94,0.01
Poland,2021-09-03,60,69,71.67,70.79,0.0
Poland,2021-09-03,70,79,83.34,83.27,0.01
Poland,2021-09-03,80,,63.79,63.25,0.0
Poland,2021-09-10,0,4,0.0,0.0,0.0
Poland,2021-09-10,10,14,17.84,15.41,0.0
Poland,2021-09-10,15,17,41.47,38.47,0.0
Poland,2021-09-10,18,24,46.79,45.15,0.0
Poland,2021-09-10,25,49,52.67,51.35,0.01
Poland,2021-09-10,5,9,0.0,0.0,0.0
Poland,2021-09-10,50,59,63.45,62.38,0.02
Poland,2021-09-10,60,69,71.89,71.09,0.02
Poland,2021-09-10,70,79,83.49,83.49,0.04
Poland,2021-09-10,80,,63.91,63.42,0.02
Poland,2021-09-17,0,4,0.0,0.0,0.0
Poland,2021-09-17,10,14,18.55,15.96,0.0
Poland,2021-09-17,15,17,42.26,39.28,0.0
Poland,2021-09-17,18,24,47.28,45.72,0.0
Poland,2021-09-17,25,49,53.07,51.86,0.02
Poland,2021-09-17,5,9,0.0,0.0,0.0
Poland,2021-09-17,50,59,63.72,62.75,0.04
Poland,2021-09-17,60,69,72.07,71.35,0.06
Poland,2021-09-17,70,79,83.63,83.69,0.1
Poland,2021-09-17,80,,64.02,63.58,0.06
Poland,2021-09-24,0,4,0.0,0.0,0.0
Poland,2021-09-24,10,14,19.23,16.52,0.0
Poland,2021-09-24,15,17,43.02,40.02,0.0
Poland,2021-09-24,18,24,47.76,46.28,0.02
Poland,2021-09-24,25,49,53.48,52.35,0.07
Poland,2021-09-24,5,9,0.0,0.0,0.0
Poland,2021-09-24,50,59,64.0,63.1,0.16
Poland,2021-09-24,60,69,72.25,71.58,0.17
Poland,2021-09-24,70,79,83.76,83.86,0.55
Poland,2021-09-24,80,,64.13,63.71,0.56
Poland,2021-10-01,0,4,0.0,0.0,0.0
Poland,2021-10-01,10,14,19.69,16.99,0.0
Poland,2021-10-01,15,17,43.57,40.68,0.0
Poland,2021-10-01,18,24,48.17,46.78,0.11
Poland,2021-10-01,25,49,53.82,52.77,0.28
Poland,2021-10-01,5,9,0.0,0.0,0.0
Poland,2021-10-01,50,59,64.22,63.39,0.72
Poland,2021-10-01,60,69,72.4,71.78,0.62
Poland,2021-10-01,70,79,83.89,84.01,3.13
Poland,2021-10-01,80,,64.25,63.83,4.28
Poland,2021-10-08,0,4,0.0,0.0,0.0
Poland,2021-10-08,10,14,20.04,17.64,0.0
Poland,2021-10-08,15,17,44.05,41.47,0.0
Poland,2021-10-08,18,24,48.53,47.19,0.25
Poland,2021-10-08,25,49,54.14,53.14,0.49
Poland,2021-10-08,5,9,0.0,0.0,0.0
Poland,2021-10-08,50,59,64.42,63.63,1.3
