location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
France,2021-01-08,18,24,0.01,0.0
France,2021-01-08,25,49,0.07,0.0
France,2021-01-08,50,59,0.45,0.0
France,2021-01-08,60,69,0.29,0.0
France,2021-01-08,70,79,0.17,0.0
France,2021-01-08,80,,0.41,0.0
France,2021-01-15,18,24,0.06,0.0
France,2021-01-15,25,49,0.37,0.0
France,2021-01-15,50,59,1.75,0.0
France,2021-01-15,60,69,1.04,0.0
France,2021-01-15,70,79,0.86,0.0
France,2021-01-15,80,,2.09,0.0
France,2021-01-22,18,24,0.13,0.0
France,2021-01-22,25,49,0.67,0.0
France,2021-01-22,50,59,2.73,0.0
France,2021-01-22,60,69,1.76,0.0
France,2021-01-22,70,79,4.1,0.0
France,2021-01-22,80,,8.96,0.01
France,2021-01-29,18,24,0.17,0.0
France,2021-01-29,25,49,0.86,0.03
France,2021-01-29,50,59,3.24,0.2
France,2021-01-29,60,69,2.24,0.12
France,2021-01-29,70,79,6.98,0.08
France,2021-01-29,80,,14.89,0.24
France,2021-02-05,18,24,0.2,0.03
France,2021-02-05,25,49,0.98,0.18
France,2021-02-05,50,59,3.53,0.99
France,2021-02-05,60,69,2.56,0.58
France,2021-02-05,70,79,9.14,0.43
France,2021-02-05,80,,19.04,1.3
France,2021-02-12,18,24,0.31,0.07
France,2021-02-12,25,49,1.28,0.45
France,2021-02-12,50,59,3.87,1.95
France,2021-02-12,60,69,2.92,1.18
France,2021-02-12,70,79,11.04,1.6
France,2021-02-12,80,,22.41,4.63
France,2021-02-19,18,24,0.47,0.12
France,2021-02-19,25,49,1.61,0.67
France,2021-02-19,50,59,4.2,2.66
France,2021-02-19,60,69,3.25,1.73
France,2021-02-19,70,79,12.28,4.27
France,2021-02-19,80,,24.61,9.85
France,2021-02-26,18,24,0.65,0.15
France,2021-02-26,25,49,1.94,0.81
France,2021-02-26,50,59,5.15,3.06
France,2021-02-26,60,69,4.22,2.12
France,2021-02-26,70,79,13.72,6.76
France,2021-02-26,80,,26.98,14.41
France,2021-03-05,18,24,0.9,0.18
France,2021-03-05,25,49,2.43,0.92
France,2021-03-05,50,59,7.11,3.34
France,2021-03-05,60,69,6.87,2.43
France,2021-03-05,70,79,18.17,8.82
France,2021-03-05,80,,32.23,17.98
France,2021-03-12,18,24,1.2,0.21
France,2021-03-12,25,49,3.07,1.03
France,2021-03-12,50,59,9.19,3.56
France,2021-03-12,60,69,10.59,2.73
France,2021-03-12,70,79,24.96,10.62
France,2021-03-12,80,,38.69,21.12
France,2021-03-19,18,24,1.37,0.23
France,2021-03-19,25,49,3.47,1.11
France,2021-03-19,50,59,10.26,3.73
France,2021-03-19,60,69,12.97,2.97
France,2021-03-19,70,79,31.55,11.81
France,2021-03-19,80,,46.11,23.19
France,2021-03-26,18,24,1.64,0.26
France,2021-03-26,25,49,4.1,1.19
France,2021-03-26,50,59,12.38,3.89
France,2021-03-26,60,69,18.16,3.23
France,2021-03-26,70,79,41.49,13.2
France,2021-03-26,80,,53.64,25.48
France,2021-04-02,18,24,2.08,0.29
France,2021-04-02,25,49,5.0,1.3
France,2021-04-02,50,59,14.55,4.13
France,2021-04-02,60,69,22.76,3.74
France,2021-04-02,70,79,50.96,16.31
France,2021-04-02,80,,58.92,30.17
France,2021-04-09,18,24,2.56,0.33
France,2021-04-09,25,49,5.95,1.46
France,2021-04-09,50,59,17.07,4.51
