location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Latvia,2021-01-08,18,24,0.31,0.0,0.0
Latvia,2021-01-08,25,49,0.54,0.0,0.0
Latvia,2021-01-08,50,59,0.66,0.0,0.0
Latvia,2021-01-08,60,69,0.49,0.0,0.0
Latvia,2021-01-08,70,79,0.12,0.0,0.0
Latvia,2021-01-08,80,,0.02,0.0,0.0
Latvia,2021-01-15,18,24,0.7,0.0,0.0
Latvia,2021-01-15,25,49,1.16,0.0,0.0
Latvia,2021-01-15,50,59,1.54,0.0,0.0
Latvia,2021-01-15,60,69,1.24,0.0,0.0
Latvia,2021-01-15,70,79,0.35,0.0,0.0
Latvia,2021-01-15,80,,0.08,0.0,0.0
Latvia,2021-01-22,18,24,0.75,0.1,0.0
Latvia,2021-01-22,25,49,1.23,0.19,0.0
Latvia,2021-01-22,50,59,1.63,0.19,0.0
Latvia,2021-01-22,60,69,1.3,0.12,0.0
Latvia,2021-01-22,70,79,0.38,0.04,0.0
Latvia,2021-01-22,80,,0.08,0.0,0.0
Latvia,2021-01-29,15,17,0.01,0.0,0.0
Latvia,2021-01-29,18,24,0.76,0.29,0.0
Latvia,2021-01-29,25,49,1.25,0.52,0.0
Latvia,2021-01-29,50,59,1.65,0.64,0.0
Latvia,2021-01-29,60,69,1.31,0.48,0.0
Latvia,2021-01-29,70,79,0.38,0.11,0.0
Latvia,2021-01-29,80,,0.08,0.02,0.0
Latvia,2021-02-05,15,17,0.01,0.0,0.0
Latvia,2021-02-05,18,24,0.78,0.62,0.0
Latvia,2021-02-05,25,49,1.29,1.04,0.0
Latvia,2021-02-05,50,59,1.74,1.42,0.0
Latvia,2021-02-05,60,69,1.39,1.13,0.0
Latvia,2021-02-05,70,79,0.41,0.31,0.0
Latvia,2021-02-05,80,,0.09,0.06,0.0
Latvia,2021-02-12,15,17,0.01,0.0,0.0
Latvia,2021-02-12,18,24,0.99,0.7,0.0
Latvia,2021-02-12,25,49,1.49,1.19,0.0
Latvia,2021-02-12,50,59,2.01,1.57,0.0
Latvia,2021-02-12,60,69,1.66,1.26,0.0
Latvia,2021-02-12,70,79,0.55,0.36,0.0
Latvia,2021-02-12,80,,0.26,0.08,0.0
Latvia,2021-02-19,15,17,0.01,0.0,0.0
Latvia,2021-02-19,18,24,1.17,0.74,0.0
Latvia,2021-02-19,25,49,1.82,1.23,0.0
Latvia,2021-02-19,50,59,2.59,1.62,0.0
Latvia,2021-02-19,60,69,2.28,1.3,0.0
Latvia,2021-02-19,70,79,1.45,0.38,0.0
Latvia,2021-02-19,80,,1.43,0.08,0.0
Latvia,2021-02-26,15,17,0.01,0.0,0.0
