location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Malta,2021-01-01,18,24,0.01,0.0
Malta,2021-01-01,25,49,0.02,0.0
Malta,2021-01-01,50,59,0.03,0.0
Malta,2021-01-01,60,69,0.01,0.0
Malta,2021-01-08,18,24,0.4,0.0
Malta,2021-01-08,25,49,1.12,0.0
Malta,2021-01-08,50,59,1.68,0.0
Malta,2021-01-08,60,69,0.74,0.0
Malta,2021-01-08,70,79,0.35,0.0
Malta,2021-01-08,80,,2.2,0.01
Malta,2021-01-15,18,24,0.8,0.01
Malta,2021-01-15,25,49,1.97,0.02
Malta,2021-01-15,50,59,2.89,0.03
Malta,2021-01-15,60,69,1.34,0.01
Malta,2021-01-15,70,79,0.82,0.0
Malta,2021-01-15,80,,17.05,0.03
Malta,2021-01-22,18,24,1.26,0.14
Malta,2021-01-22,25,49,2.86,0.44
Malta,2021-01-22,50,59,4.37,0.59
Malta,2021-01-22,60,69,1.97,0.21
Malta,2021-01-22,70,79,1.53,0.05
Malta,2021-01-22,80,,29.88,0.49
Malta,2021-01-29,18,24,1.56,0.4
Malta,2021-01-29,25,49,3.74,1.15
Malta,2021-01-29,50,59,5.71,1.69
Malta,2021-01-29,60,69,2.6,0.74
Malta,2021-01-29,70,79,2.1,0.33
Malta,2021-01-29,80,,35.8,2.09
Malta,2021-02-05,18,24,1.91,0.78
Malta,2021-02-05,25,49,4.56,2.07
Malta,2021-02-05,50,59,6.91,2.88
Malta,2021-02-05,60,69,3.3,1.32
Malta,2021-02-05,70,79,2.68,0.76
Malta,2021-02-05,80,,50.84,16.54
Malta,2021-02-12,18,24,2.5,1.24
Malta,2021-02-12,25,49,5.35,2.26
Malta,2021-02-12,50,59,7.8,4.34
Malta,2021-02-12,60,69,3.95,1.94
Malta,2021-02-12,70,79,3.1,1.45
Malta,2021-02-12,80,,66.49,29.06
Malta,2021-02-19,18,24,3.84,1.56
Malta,2021-02-19,25,49,6.96,3.12
Malta,2021-02-19,50,59,10.12,5.7
Malta,2021-02-19,60,69,5.76,2.55
Malta,2021-02-19,70,79,5.33,2.01
Malta,2021-02-19,80,,75.87,34.83
Malta,2021-02-26,18,24,7.26,1.92
Malta,2021-02-26,25,49,11.25,3.96
Malta,2021-02-26,50,59,14.37,6.89
Malta,2021-02-26,60,69,9.27,3.26
Malta,2021-02-26,70,79,9.35,2.62
Malta,2021-02-26,80,,80.12,48.91
Malta,2021-03-05,18,24,9.12,2.34
Malta,2021-03-05,25,49,15.84,4.64
Malta,2021-03-05,50,59,21.33,7.67
Malta,2021-03-05,60,69,15.41,3.69
Malta,2021-03-05,70,79,13.88,3.05
Malta,2021-03-05,80,,82.23,64.09
Malta,2021-03-12,18,24,11.64,2.73
Malta,2021-03-12,25,49,19.51,5.3
Malta,2021-03-12,50,59,25.22,8.79
Malta,2021-03-12,60,69,26.74,5.39
Malta,2021-03-12,70,79,21.65,5.15
Malta,2021-03-12,80,,88.57,72.91
Malta,2021-03-19,18,24,13.77,3.23
Malta,2021-03-19,25,49,21.71,6.02
Malta,2021-03-19,50,59,27.3,10.63
Malta,2021-03-19,60,69,36.8,8.2
Malta,2021-03-19,70,79,35.17,8.97
Malta,2021-03-19,80,,94.95,76.44
Malta,2021-03-26,18,24,15.1,3.45
Malta,2021-03-26,25,49,23.09,6.63
Malta,2021-03-26,50,59,29.02,13.3
Malta,2021-03-26,60,69,49.11,9.07
Malta,2021-03-26,70,79,57.61,13.53
Malta,2021-03-26,80,,98.36,78.12
Malta,2021-04-02,18,24,15.57,3.84
Malta,2021-04-02,25,49,23.81,7.43
Malta,2021-04-02,50,59,30.02,13.99
Malta,2021-04-02,60,69,64.8,10.07
Malta,2021-04-02,70,79,79.69,21.19
Malta,2021-04-02,80,,98.95,84.14
Malta,2021-04-09,18,24,16.43,4.36
Malta,2021-04-09,25,49,25.07,8.07
Malta,2021-04-09,50,59,37.97,14.79
Malta,2021-04-09,60,69,75.74,11.57
