location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Luxembourg,2021-01-08,18,24,0.03,0.0
Luxembourg,2021-01-08,25,49,0.2,0.0
Luxembourg,2021-01-08,50,59,0.28,0.0
Luxembourg,2021-01-08,60,69,0.19,0.0
Luxembourg,2021-01-08,70,79,0.21,0.0
Luxembourg,2021-01-08,80,,1.35,0.0
Luxembourg,2021-01-15,18,24,0.07,0.0
Luxembourg,2021-01-15,25,49,0.42,0.0
Luxembourg,2021-01-15,50,59,0.55,0.0
Luxembourg,2021-01-15,60,69,0.36,0.0
Luxembourg,2021-01-15,70,79,0.42,0.0
Luxembourg,2021-01-15,80,,3.41,0.0
Luxembourg,2021-01-22,18,24,0.27,0.03
Luxembourg,2021-01-22,25,49,0.85,0.2
Luxembourg,2021-01-22,50,59,1.07,0.28
Luxembourg,2021-01-22,60,69,0.57,0.14
Luxembourg,2021-01-22,70,79,0.48,0.02
Luxembourg,2021-01-22,80,,3.43,0.0
Luxembourg,2021-01-29,18,24,0.47,0.03
Luxembourg,2021-01-29,25,49,1.37,0.2
Luxembourg,2021-01-29,50,59,1.69,0.28
Luxembourg,2021-01-29,60,69,0.9,0.19
Luxembourg,2021-01-29,70,79,0.97,0.2
Luxembourg,2021-01-29,80,,5.99,1.28
Luxembourg,2021-02-05,18,24,0.63,0.07
Luxembourg,2021-02-05,25,49,1.71,0.42
Luxembourg,2021-02-05,50,59,2.1,0.54
Luxembourg,2021-02-05,60,69,1.09,0.36
Luxembourg,2021-02-05,70,79,1.35,0.4
Luxembourg,2021-02-05,80,,9.58,3.26
Luxembourg,2021-02-12,18,24,0.88,0.22
Luxembourg,2021-02-12,25,49,2.19,0.72
Luxembourg,2021-02-12,50,59,2.6,0.87
Luxembourg,2021-02-12,60,69,1.4,0.49
Luxembourg,2021-02-12,70,79,1.59,0.45
Luxembourg,2021-02-12,80,,10.61,3.28
Luxembourg,2021-02-19,18,24,1.39,0.34
Luxembourg,2021-02-19,25,49,2.91,1.04
Luxembourg,2021-02-19,50,59,3.41,1.3
Luxembourg,2021-02-19,60,69,1.75,0.61
Luxembourg,2021-02-19,70,79,2.19,0.49
Luxembourg,2021-02-19,80,,16.83,3.33
Luxembourg,2021-02-26,18,24,1.6,0.47
Luxembourg,2021-02-26,25,49,3.24,1.37
Luxembourg,2021-02-26,50,59,3.83,1.7
Luxembourg,2021-02-26,60,69,1.94,0.88
Luxembourg,2021-02-26,70,79,2.33,0.96
Luxembourg,2021-02-26,80,,23.21,5.77
Luxembourg,2021-03-05,18,24,1.76,0.63
Luxembourg,2021-03-05,25,49,3.39,1.75
Luxembourg,2021-03-05,50,59,4.04,2.17
Luxembourg,2021-03-05,60,69,3.43,1.08
Luxembourg,2021-03-05,70,79,2.66,1.3
Luxembourg,2021-03-05,80,,37.38,9.22
Luxembourg,2021-03-12,18,24,1.98,0.75
Luxembourg,2021-03-12,25,49,3.51,1.9
Luxembourg,2021-03-12,50,59,4.32,2.32
Luxembourg,2021-03-12,60,69,4.81,1.24
Luxembourg,2021-03-12,70,79,9.77,1.54
Luxembourg,2021-03-12,80,,63.75,10.24
Luxembourg,2021-03-19,18,24,2.12,0.91
Luxembourg,2021-03-19,25,49,3.67,1.99
Luxembourg,2021-03-19,50,59,4.68,2.43
Luxembourg,2021-03-19,60,69,5.51,1.46
