location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Bulgaria,2021-01-08,18,24,0.04,0.0,0.0
Bulgaria,2021-01-08,25,49,0.18,0.0,0.0
Bulgaria,2021-01-08,50,59,0.46,0.0,0.0
Bulgaria,2021-01-08,60,69,0.39,0.0,0.0
Bulgaria,2021-01-08,70,79,0.12,0.0,0.0
Bulgaria,2021-01-08,80,,0.04,0.0,0.0
Bulgaria,2021-01-15,18,24,0.05,0.0,0.0
Bulgaria,2021-01-15,25,49,0.24,0.0,0.0
Bulgaria,2021-01-15,50,59,0.62,0.0,0.0
Bulgaria,2021-01-15,60,69,0.53,0.0,0.0
Bulgaria,2021-01-15,70,79,0.17,0.0,0.0
Bulgaria,2021-01-15,80,,0.06,0.0,0.0
Bulgaria,2021-01-22,18,24,0.06,0.01,0.0
Bulgaria,2021-01-22,25,49,0.29,0.06,0.0
Bulgaria,2021-01-22,50,59,0.72,0.17,0.0
Bulgaria,2021-01-22,60,69,0.63,0.13,0.0
Bulgaria,2021-01-22,70,79,0.2,0.04,0.0
Bulgaria,2021-01-22,80,,0.07,0.01,0.0
Bulgaria,2021-01-29,18,24,0.07,0.04,0.0
Bulgaria,2021-01-29,25,49,0.37,0.17,0.0
Bulgaria,2021-01-29,50,59,0.91,0.45,0.0
Bulgaria,2021-01-29,60,69,0.82,0.38,0.0
Bulgaria,2021-01-29,70,79,0.29,0.12,0.0
Bulgaria,2021-01-29,80,,0.12,0.04,0.0
Bulgaria,2021-02-05,18,24,0.1,0.05,0.0
Bulgaria,2021-02-05,25,49,0.51,0.23,0.0
Bulgaria,2021-02-05,50,59,1.29,0.59,0.0
Bulgaria,2021-02-05,60,69,1.13,0.51,0.0
Bulgaria,2021-02-05,70,79,0.42,0.16,0.0
Bulgaria,2021-02-05,80,,0.31,0.05,0.0
Bulgaria,2021-02-12,18,24,0.13,0.06,0.0
Bulgaria,2021-02-12,25,49,0.75,0.27,0.0
Bulgaria,2021-02-12,50,59,1.8,0.69,0.0
Bulgaria,2021-02-12,60,69,1.47,0.61,0.0
Bulgaria,2021-02-12,70,79,0.52,0.2,0.0
Bulgaria,2021-02-12,80,,0.41,0.06,0.0
Bulgaria,2021-02-19,18,24,0.32,0.07,0.0
Bulgaria,2021-02-19,25,49,1.37,0.35,0.0
Bulgaria,2021-02-19,50,59,2.88,0.88,0.0
Bulgaria,2021-02-19,60,69,2.29,0.79,0.0
Bulgaria,2021-02-19,70,79,0.95,0.28,0.0
Bulgaria,2021-02-19,80,,0.71,0.12,0.0
Bulgaria,2021-02-26,18,24,0.71,0.09,0.0
Bulgaria,2021-02-26,25,49,2.28,0.48,0.0
Bulgaria,2021-02-26,50,59,4.57,1.21,0.0
Bulgaria,2021-02-26,60,69,4.52,1.07,0.0
Bulgaria,2021-02-26,70,79,3.4,0.4,0.0
Bulgaria,2021-02-26,80,,2.07,0.28,0.0
Bulgaria,2021-03-05,18,24,0.96,0.11,0.0
Bulgaria,2021-03-05,25,49,2.86,0.66,0.0
Bulgaria,2021-03-05,50,59,5.73,1.66,0.0
Bulgaria,2021-03-05,60,69,6.38,1.4,0.0
Bulgaria,2021-03-05,70,79,5.64,0.5,0.0
Bulgaria,2021-03-05,80,,3.29,0.39,0.0
Bulgaria,2021-03-12,18,24,1.15,0.14,0.0
Bulgaria,2021-03-12,25,49,3.28,0.78,0.0
Bulgaria,2021-03-12,50,59,6.5,1.92,0.0
Bulgaria,2021-03-12,60,69,7.53,1.61,0.0
Bulgaria,2021-03-12,70,79,7.04,0.59,0.0
Bulgaria,2021-03-12,80,,4.14,0.45,0.0
Bulgaria,2021-03-19,18,24,1.26,0.2,0.0
Bulgaria,2021-03-19,25,49,3.56,0.96,0.0
Bulgaria,2021-03-19,50,59,6.92,2.25,0.0
Bulgaria,2021-03-19,60,69,7.9,1.95,0.0
Bulgaria,2021-03-19,70,79,7.31,0.82,0.0
Bulgaria,2021-03-19,80,,4.31,0.56,0.0
Bulgaria,2021-03-26,18,24,1.58,0.29,0.0
Bulgaria,2021-03-26,25,49,4.25,1.18,0.0
Bulgaria,2021-03-26,50,59,7.93,2.66,0.0
Bulgaria,2021-03-26,60,69,9.11,2.42,0.0
Bulgaria,2021-03-26,70,79,8.6,1.15,0.0
Bulgaria,2021-03-26,80,,5.08,0.69,0.0
Bulgaria,2021-04-02,18,24,1.94,0.36,0.0
Bulgaria,2021-04-02,25,49,5.0,1.37,0.0
Bulgaria,2021-04-02,50,59,9.0,2.97,0.0
Bulgaria,2021-04-02,60,69,10.38,2.71,0.0
Bulgaria,2021-04-02,70,79,10.0,1.38,0.0
Bulgaria,2021-04-02,80,,5.99,0.83,0.0
Bulgaria,2021-04-09,18,24,2.23,0.43,0.0
Bulgaria,2021-04-09,25,49,5.6,1.58,0.0
Bulgaria,2021-04-09,50,59,9.94,3.29,0.0
Bulgaria,2021-04-09,60,69,11.9,2.98,0.0
Bulgaria,2021-04-09,70,79,11.91,1.56,0.0
Bulgaria,2021-04-09,80,,7.24,0.93,0.0
Bulgaria,2021-04-16,18,24,2.48,0.52,0.0
Bulgaria,2021-04-16,25,49,6.16,1.83,0.0
Bulgaria,2021-04-16,50,59,10.8,3.68,0.0
Bulgaria,2021-04-16,60,69,13.25,3.31,0.0
Bulgaria,2021-04-16,70,79,13.56,1.78,0.0
Bulgaria,2021-04-16,80,,8.3,1.08,0.0
Bulgaria,2021-04-23,18,24,2.76,0.71,0.0
