location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Norway,2021-01-01,18,24,0.0,0.0
Norway,2021-01-01,25,49,0.0,0.0
Norway,2021-01-01,50,59,0.0,0.0
Norway,2021-01-01,60,69,0.0,0.0
Norway,2021-01-01,70,79,0.0,0.0
Norway,2021-01-01,80,,0.0,0.0
Norway,2021-01-08,18,24,0.02,0.0
Norway,2021-01-08,25,49,0.06,0.0
Norway,2021-01-08,50,59,0.1,0.0
Norway,2021-01-08,60,69,0.26,0.0
Norway,2021-01-08,70,79,0.93,0.0
Norway,2021-01-08,80,,6.93,0.0
Norway,2021-01-15,18,24,0.16,0.0
Norway,2021-01-15,25,49,0.52,0.0
Norway,2021-01-15,50,59,0.56,0.0
Norway,2021-01-15,60,69,0.63,0.0
Norway,2021-01-15,70,79,1.5,0.0
Norway,2021-01-15,80,,12.2,0.0
Norway,2021-01-22,18,24,0.29,0.0
Norway,2021-01-22,25,49,1.0,0.01
Norway,2021-01-22,50,59,0.98,0.01
Norway,2021-01-22,60,69,0.97,0.03
Norway,2021-01-22,70,79,1.9,0.09
Norway,2021-01-22,80,,17.7,0.58
Norway,2021-01-29,18,24,0.42,0.02
Norway,2021-01-29,25,49,1.28,0.05
Norway,2021-01-29,50,59,1.3,0.09
Norway,2021-01-29,60,69,1.23,0.24
Norway,2021-01-29,70,79,2.22,0.85
Norway,2021-01-29,80,,25.96,6.36
Norway,2021-02-05,18,24,0.61,0.14
Norway,2021-02-05,25,49,1.72,0.49
Norway,2021-02-05,50,59,1.84,0.53
Norway,2021-02-05,60,69,1.66,0.59
Norway,2021-02-05,70,79,3.75,1.4
Norway,2021-02-05,80,,46.9,11.39
Norway,2021-02-12,18,24,0.76,0.26
Norway,2021-02-12,25,49,2.05,0.95
Norway,2021-02-12,50,59,2.25,0.95
Norway,2021-02-12,60,69,1.99,0.93
Norway,2021-02-12,70,79,6.55,1.76
Norway,2021-02-12,80,,62.42,16.21
Norway,2021-02-19,18,24,1.1,0.38
Norway,2021-02-19,25,49,2.87,1.24
Norway,2021-02-19,50,59,3.16,1.26
Norway,2021-02-19,60,69,2.57,1.18
Norway,2021-02-19,70,79,8.9,2.09
Norway,2021-02-19,80,,72.35,24.65
Norway,2021-02-26,18,24,1.89,0.54
Norway,2021-02-26,25,49,3.97,1.62
Norway,2021-02-26,50,59,4.53,1.74
Norway,2021-02-26,60,69,3.29,1.56
Norway,2021-02-26,70,79,9.2,3.53
Norway,2021-02-26,80,,73.18,44.92
Norway,2021-03-05,18,24,3.06,0.66
Norway,2021-03-05,25,49,5.44,1.9
Norway,2021-03-05,50,59,6.31,2.11
Norway,2021-03-05,60,69,4.46,1.86
Norway,2021-03-05,70,79,10.45,5.35
Norway,2021-03-05,80,,76.21,58.53
Norway,2021-03-12,18,24,3.83,0.79
Norway,2021-03-12,25,49,6.27,2.14
Norway,2021-03-12,50,59,7.65,2.4
Norway,2021-03-12,60,69,5.89,2.12
Norway,2021-03-12,70,79,12.11,8.43
Norway,2021-03-12,80,,80.74,70.26
Norway,2021-03-19,18,24,3.94,0.82
Norway,2021-03-19,25,49,6.39,2.2
Norway,2021-03-19,50,59,7.84,2.48
Norway,2021-03-19,60,69,6.3,2.22
Norway,2021-03-19,70,79,19.96,8.73
Norway,2021-03-19,80,,88.74,71.26
Norway,2021-03-26,18,24,4.33,0.84
Norway,2021-03-26,25,49,7.2,2.25
Norway,2021-03-26,50,59,8.83,2.55
Norway,2021-03-26,60,69,7.7,2.38
Norway,2021-03-26,70,79,36.78,9.37
Norway,2021-03-26,80,,92.18,73.01
Norway,2021-04-02,18,24,4.64,0.87
Norway,2021-04-02,25,49,7.78,2.28
Norway,2021-04-02,50,59,9.85,2.6
Norway,2021-04-02,60,69,9.76,2.53
Norway,2021-04-02,70,79,49.82,10.53
Norway,2021-04-02,80,,93.16,76.59
Norway,2021-04-09,18,24,5.22,0.92
Norway,2021-04-09,25,49,8.76,2.34
Norway,2021-04-09,50,59,12.23,2.68
Norway,2021-04-09,60,69,15.38,2.67
Norway,2021-04-09,70,79,71.8,11.65
Norway,2021-04-09,80,,93.98,78.68
Norway,2021-04-16,18,24,5.83,0.96
Norway,2021-04-16,25,49,9.65,2.39
Norway,2021-04-16,50,59,14.97,2.78
Norway,2021-04-16,60,69,29.27,2.79
Norway,2021-04-16,70,79,89.2,12.02
Norway,2021-04-16,80,,94.63,79.02
Norway,2021-04-23,18,24,6.38,1.02
Norway,2021-04-23,25,49,10.54,2.52
Norway,2021-04-23,50,59,17.75,3.05
Norway,2021-04-23,60,69,45.13,3.09
Norway,2021-04-23,70,79,95.1,12.32
Norway,2021-04-23,80,,95.0,79.46
Norway,2021-04-30,18,24,7.12,1.17
Norway,2021-04-30,25,49,12.1,2.79
Norway,2021-04-30,50,59,23.8,3.5
Norway,2021-04-30,60,69,58.75,3.73
Norway,2021-04-30,70,79,97.27,19.75
Norway,2021-04-30,80,,95.34,87.06
Norway,2021-05-07,18,24,7.91,1.53
Norway,2021-05-07,25,49,13.86,3.46
Norway,2021-05-07,50,59,27.86,4.42
Norway,2021-05-07,60,69,65.06,5.14
Norway,2021-05-07,70,79,98.21,35.83
Norway,2021-05-07,80,,95.64,90.59
Norway,2021-05-14,18,24,8.74,2.17
Norway,2021-05-14,25,49,15.41,4.74
Norway,2021-05-14,50,59,31.44,6.19
Norway,2021-05-14,60,69,70.18,7.61
Norway,2021-05-14,70,79,98.79,48.71
Norway,2021-05-14,80,,95.86,91.67
Norway,2021-05-21,18,24,9.05,3.38
Norway,2021-05-21,25,49,15.94,6.82
Norway,2021-05-21,50,59,32.85,9.76
Norway,2021-05-21,60,69,71.37,13.73
Norway,2021-05-21,70,79,99.05,70.05
Norway,2021-05-21,80,,95.96,92.5
Norway,2021-05-28,18,24,9.38,4.77
Norway,2021-05-28,25,49,16.54,8.7
Norway,2021-05-28,50,59,34.14,13.68
Norway,2021-05-28,60,69,72.65,27.4
Norway,2021-05-28,70,79,99.3,87.77
Norway,2021-05-28,80,,96.07,93.15
Norway,2021-06-04,18,24,11.11,5.83
Norway,2021-06-04,25,49,19.32,10.13
Norway,2021-06-04,50,59,42.45,17.27
Norway,2021-06-04,60,69,81.21,43.74
Norway,2021-06-04,70,79,99.69,94.24
Norway,2021-06-04,80,,96.25,93.6
Norway,2021-06-11,18,24,13.72,6.63
Norway,2021-06-11,25,49,22.05,11.7
Norway,2021-06-11,50,59,51.25,23.03
Norway,2021-06-11,60,69,85.6,57.09
Norway,2021-06-11,70,79,99.91,96.6
Norway,2021-06-11,80,,96.37,93.91
Norway,2021-06-18,18,24,20.38,7.36
Norway,2021-06-18,25,49,25.24,13.34
Norway,2021-06-18,50,59,64.93,26.95
Norway,2021-06-18,60,69,90.39,63.12
Norway,2021-06-18,70,79,100.12,97.58
Norway,2021-06-18,80,,96.49,94.19
Norway,2021-06-25,18,24,29.33,8.13
Norway,2021-06-25,25,49,32.1,14.84
Norway,2021-06-25,50,59,78.64,30.28
Norway,2021-06-25,60,69,93.25,67.59
Norway,2021-06-25,70,79,100.29,98.15
Norway,2021-06-25,80,,96.6,94.4
Norway,2021-07-02,18,24,42.96,8.45
Norway,2021-07-02,25,49,44.02,15.32
Norway,2021-07-02,50,59,87.03,31.27
Norway,2021-07-02,60,69,94.55,68.59
Norway,2021-07-02,70,79,100.44,98.38
Norway,2021-07-02,80,,96.68,94.5
Norway,2021-07-09,18,24,53.11,8.8
Norway,2021-07-09,25,49,53.64,15.84
Norway,2021-07-09,50,59,89.66,32.3
Norway,2021-07-09,60,69,95.07,69.73
Norway,2021-07-09,70,79,100.56,98.58
Norway,2021-07-09,80,,96.76,94.6
Norway,2021-07-16,18,24,59.54,9.91
Norway,2021-07-16,25,49,59.33,17.64
Norway,2021-07-16,50,59,90.71,35.45
Norway,2021-07-16,60,69,95.35,72.98
Norway,2021-07-16,70,79,100.65,98.9
Norway,2021-07-16,80,,96.83,94.75
Norway,2021-07-23,18,24,69.23,11.12
Norway,2021-07-23,25,49,66.23,18.95
Norway,2021-07-23,50,59,92.02,38.28
Norway,2021-07-23,60,69,95.64,74.97
Norway,2021-07-23,70,79,100.74,99.09
Norway,2021-07-23,80,,96.89,94.86
Norway,2021-07-30,18,24,76.46,13.25
Norway,2021-07-30,25,49,74.06,20.49
Norway,2021-07-30,50,59,92.86,41.8
Norway,2021-07-30,60,69,95.91,77.11
Norway,2021-07-30,70,79,100.84,99.24
Norway,2021-07-30,80,,96.95,94.95
Norway,2021-08-06,18,24,80.18,17.37
Norway,2021-08-06,25,49,78.89,23.35
Norway,2021-08-06,50,59,93.45,48.43
Norway,2021-08-06,60,69,96.15,81.04
Norway,2021-08-06,70,79,100.94,99.41
Norway,2021-08-06,80,,97.03,95.04
Norway,2021-08-13,18,24,81.99,24.04
Norway,2021-08-13,25,49,81.2,28.61
Norway,2021-08-13,50,59,93.89,62.27
Norway,2021-08-13,60,69,96.33,87.59
Norway,2021-08-13,70,79,101.02,99.56
Norway,2021-08-13,80,,97.11,95.14
Norway,2021-08-20,18,24,83.08,33.68
Norway,2021-08-20,25,49,82.46,38.37
Norway,2021-08-20,50,59,94.23,76.4
Norway,2021-08-20,60,69,96.49,90.95
Norway,2021-08-20,70,79,101.1,99.71
Norway,2021-08-20,80,,97.16,95.23
Norway,2021-08-27,18,24,84.18,51.22
Norway,2021-08-27,25,49,83.62,53.28
Norway,2021-08-27,50,59,94.55,85.28
Norway,2021-08-27,60,69,96.64,93.17
Norway,2021-08-27,70,79,101.18,99.87
Norway,2021-08-27,80,,97.23,95.34
Norway,2021-09-03,18,24,85.21,62.3
Norway,2021-09-03,25,49,84.57,64.52
Norway,2021-09-03,50,59,94.83,88.19
Norway,2021-09-03,60,69,96.78,93.97
Norway,2021-09-03,70,79,101.26,100.01
Norway,2021-09-03,80,,97.31,95.44
Norway,2021-09-10,18,24,85.94,69.56
Norway,2021-09-10,25,49,85.2,70.9
Norway,2021-09-10,50,59,95.02,89.74
Norway,2021-09-10,60,69,96.88,94.47
Norway,2021-09-10,70,79,101.32,100.13
Norway,2021-09-10,80,,97.36,95.52
Norway,2021-09-17,18,24,86.49,73.1
Norway,2021-09-17,25,49,85.67,74.31
Norway,2021-09-17,50,59,95.17,90.66
Norway,2021-09-17,60,69,96.96,94.77
Norway,2021-09-17,70,79,101.37,100.23
Norway,2021-09-17,80,,97.41,95.59
Norway,2021-09-24,18,24,86.88,75.25
Norway,2021-09-24,25,49,86.03,76.63
Norway,2021-09-24,50,59,95.29,91.26
Norway,2021-09-24,60,69,97.03,94.99
Norway,2021-09-24,70,79,101.4,100.32
Norway,2021-09-24,80,,97.44,95.67
Norway,2021-10-01,18,24,87.23,76.97
Norway,2021-10-01,25,49,86.35,78.48
Norway,2021-10-01,50,59,95.39,91.7
Norway,2021-10-01,60,69,97.09,95.2
Norway,2021-10-01,70,79,101.44,100.42
Norway,2021-10-01,80,,97.47,95.74
Norway,2021-10-08,18,24,87.42,77.9
Norway,2021-10-08,25,49,86.55,79.51
Norway,2021-10-08,50,59,95.45,91.95
Norway,2021-10-08,60,69,97.13,95.32
Norway,2021-10-08,70,79,101.46,100.5
Norway,2021-10-08,80,,97.5,95.84
Norway,2021-10-15,18,24,87.55,78.5
Norway,2021-10-15,25,49,86.66,80.07
Norway,2021-10-15,50,59,95.48,92.11
Norway,2021-10-15,60,69,97.15,95.41
Norway,2021-10-15,70,79,101.48,100.56
Norway,2021-10-15,80,,97.53,95.98
Norway,2021-10-22,18,24,87.67,79.0
Norway,2021-10-22,25,49,86.79,80.59
Norway,2021-10-22,50,59,95.52,92.25
Norway,2021-10-22,60,69,97.18,95.5
Norway,2021-10-22,70,79,101.5,100.61
Norway,2021-10-22,80,,97.55,96.09
Norway,2021-10-29,18,24,87.79,79.42
Norway,2021-10-29,25,49,86.93,81.03
Norway,2021-10-29,50,59,95.57,92.39
Norway,2021-10-29,60,69,97.2,95.58
Norway,2021-10-29,70,79,101.52,100.66
Norway,2021-10-29,80,,97.57,96.18
Norway,2021-11-05,18,24,87.96,79.77
Norway,2021-11-05,25,49,87.1,81.4
Norway,2021-11-05,50,59,95.62,92.5
Norway,2021-11-05,60,69,97.25,95.66
Norway,2021-11-05,70,79,101.54,100.75
Norway,2021-11-05,80,,97.61,96.34
Norway,2021-11-12,18,24,88.12,80.08
Norway,2021-11-12,25,49,87.27,81.72
Norway,2021-11-12,50,59,95.67,92.61
Norway,2021-11-12,60,69,97.29,95.75
Norway,2021-11-12,70,79,101.57,100.9
Norway,2021-11-12,80,,97.65,96.58
