location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Denmark,2021-01-08,18,24,0.54,0.0
Denmark,2021-01-08,25,49,1.84,0.0
Denmark,2021-01-08,50,59,2.59,0.0
Denmark,2021-01-08,60,69,2.36,0.0
Denmark,2021-01-08,70,79,2.01,0.0
Denmark,2021-01-08,80,,10.48,0.0
Denmark,2021-01-15,18,24,0.78,0.0
Denmark,2021-01-15,25,49,2.62,0.01
Denmark,2021-01-15,50,59,3.56,0.02
Denmark,2021-01-15,60,69,3.53,0.01
Denmark,2021-01-15,70,79,3.6,0.02
Denmark,2021-01-15,80,,15.85,0.08
Denmark,2021-01-22,18,24,0.85,0.13
Denmark,2021-01-22,25,49,2.77,0.41
Denmark,2021-01-22,50,59,3.75,0.59
Denmark,2021-01-22,60,69,3.78,0.58
Denmark,2021-01-22,70,79,3.96,0.64
Denmark,2021-01-22,80,,17.07,3.39
Denmark,2021-01-29,18,24,0.9,0.42
Denmark,2021-01-29,25,49,2.85,1.38
Denmark,2021-01-29,50,59,3.87,2.05
Denmark,2021-01-29,60,69,3.89,1.91
Denmark,2021-01-29,70,79,4.07,1.74
Denmark,2021-01-29,80,,17.33,9.12
Denmark,2021-02-05,18,24,0.94,0.65
Denmark,2021-02-05,25,49,2.93,2.16
Denmark,2021-02-05,50,59,3.97,3.09
Denmark,2021-02-05,60,69,4.02,3.09
Denmark,2021-02-05,70,79,4.35,3.09
Denmark,2021-02-05,80,,19.29,14.08
Denmark,2021-02-12,18,24,1.27,0.81
Denmark,2021-02-12,25,49,3.48,2.67
Denmark,2021-02-12,50,59,4.66,3.65
Denmark,2021-02-12,60,69,4.51,3.67
Denmark,2021-02-12,70,79,4.58,3.7
Denmark,2021-02-12,80,,26.02,16.38
Denmark,2021-02-19,18,24,1.77,0.85
Denmark,2021-02-19,25,49,4.27,2.8
Denmark,2021-02-19,50,59,5.76,3.81
Denmark,2021-02-19,60,69,5.46,3.84
Denmark,2021-02-19,70,79,5.61,3.92
Denmark,2021-02-19,80,,43.18,16.7
Denmark,2021-02-26,18,24,2.68,0.92
Denmark,2021-02-26,25,49,5.92,2.93
Denmark,2021-02-26,50,59,8.2,3.99
Denmark,2021-02-26,60,69,8.19,4.03
Denmark,2021-02-26,70,79,8.31,4.24
Denmark,2021-02-26,80,,51.4,17.69
Denmark,2021-03-05,18,24,3.8,0.96
Denmark,2021-03-05,25,49,7.74,3.04
Denmark,2021-03-05,50,59,10.63,4.12
Denmark,2021-03-05,60,69,11.17,4.2
Denmark,2021-03-05,70,79,11.88,4.48
Denmark,2021-03-05,80,,55.86,22.8
Denmark,2021-03-12,18,24,4.31,1.05
Denmark,2021-03-12,25,49,8.48,3.19
Denmark,2021-03-12,50,59,11.63,4.4
Denmark,2021-03-12,60,69,12.34,4.69
Denmark,2021-03-12,70,79,13.29,5.36
Denmark,2021-03-12,80,,58.34,38.3
Denmark,2021-03-19,18,24,4.55,1.21
Denmark,2021-03-19,25,49,8.84,3.48
Denmark,2021-03-19,50,59,12.25,4.97
Denmark,2021-03-19,60,69,13.27,5.96
Denmark,2021-03-19,70,79,14.73,7.13
Denmark,2021-03-19,80,,67.24,48.78
Denmark,2021-03-26,18,24,4.7,1.4
Denmark,2021-03-26,25,49,9.1,3.84
Denmark,2021-03-26,50,59,12.67,5.71
Denmark,2021-03-26,60,69,13.96,7.81
Denmark,2021-03-26,70,79,16.7,10.02
Denmark,2021-03-26,80,,78.6,52.26
Denmark,2021-04-02,18,24,4.85,1.55
Denmark,2021-04-02,25,49,9.38,4.1
Denmark,2021-04-02,50,59,13.26,6.24
