location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Israel,2021-01-14,12,15,,,
Israel,2021-01-14,16,19,,,
Israel,2021-01-14,20,29,8.9,0.4,
Israel,2021-01-14,30,39,13.5,0.9,
Israel,2021-01-14,40,49,23.5,1.4,
Israel,2021-01-14,5,11,,,
Israel,2021-01-14,50,59,42.0,1.9,
Israel,2021-01-14,60,69,66.5,7.5,
Israel,2021-01-14,70,79,84.5,10.6,
Israel,2021-01-14,80,89,77.8,7.0,
Israel,2021-01-14,90,99,80.6,5.4,
Israel,2021-01-15,12,15,,,
Israel,2021-01-15,16,19,,,
Israel,2021-01-15,20,29,9.2,0.4,
Israel,2021-01-15,30,39,13.7,1.0,
Israel,2021-01-15,40,49,23.9,1.5,
Israel,2021-01-15,5,11,,,
Israel,2021-01-15,50,59,43.1,2.1,
Israel,2021-01-15,60,69,66.8,8.8,
Israel,2021-01-15,70,79,84.7,12.5,
Israel,2021-01-15,80,89,78.0,8.4,
Israel,2021-01-15,90,99,80.8,6.5,
Israel,2021-01-16,12,15,,,
Israel,2021-01-16,16,19,,,
Israel,2021-01-16,20,29,9.4,0.5,
Israel,2021-01-16,30,39,14.1,1.0,
Israel,2021-01-16,40,49,24.7,1.6,
Israel,2021-01-16,5,11,,,
Israel,2021-01-16,50,59,44.9,2.4,
Israel,2021-01-16,60,69,67.2,10.3,
Israel,2021-01-16,70,79,85.0,15.0,
Israel,2021-01-16,80,89,78.3,10.2,
Israel,2021-01-16,90,99,81.1,8.1,
Israel,2021-01-17,12,15,,,
Israel,2021-01-17,16,19,,,
Israel,2021-01-17,20,29,9.7,0.6,
Israel,2021-01-17,30,39,14.5,1.3,
Israel,2021-01-17,40,49,26.0,2.1,
Israel,2021-01-17,5,11,,,
Israel,2021-01-17,50,59,47.4,3.1,
Israel,2021-01-17,60,69,67.9,13.2,
Israel,2021-01-17,70,79,85.6,19.5,
Israel,2021-01-17,80,89,78.8,14.0,
Israel,2021-01-17,90,99,81.5,11.3,
Israel,2021-01-18,12,15,,,
Israel,2021-01-18,16,19,,,
Israel,2021-01-18,20,29,10.6,0.9,
Israel,2021-01-18,30,39,15.2,1.8,
Israel,2021-01-18,40,49,28.0,3.0,
Israel,2021-01-18,5,11,,,
Israel,2021-01-18,50,59,49.6,4.5,
Israel,2021-01-18,60,69,68.7,18.1,
Israel,2021-01-18,70,79,86.3,26.8,
Israel,2021-01-18,80,89,79.5,20.0,
Israel,2021-01-18,90,99,82.0,16.9,
Israel,2021-01-19,12,15,,,
Israel,2021-01-19,16,19,,,
Israel,2021-01-19,20,29,11.5,1.2,
Israel,2021-01-19,30,39,15.6,2.3,
Israel,2021-01-19,40,49,29.2,3.6,
Israel,2021-01-19,5,11,,,
Israel,2021-01-19,50,59,50.7,5.5,
Israel,2021-01-19,60,69,69.1,20.8,
Israel,2021-01-19,70,79,86.7,30.9,
Israel,2021-01-19,80,89,79.8,24.0,
Israel,2021-01-19,90,99,82.4,22.1,
Israel,2021-01-20,12,15,,,
Israel,2021-01-20,16,19,,,
Israel,2021-01-20,20,29,13.1,1.7,
Israel,2021-01-20,30,39,16.6,3.1,
Israel,2021-01-20,40,49,31.9,4.9,
Israel,2021-01-20,5,11,,,
Israel,2021-01-20,50,59,52.8,7.6,
Israel,2021-01-20,60,69,70.0,26.3,
Israel,2021-01-20,70,79,87.6,38.3,
Israel,2021-01-20,80,89,80.7,30.9,
Israel,2021-01-20,90,99,83.1,30.0,
Israel,2021-01-21,12,15,,,
Israel,2021-01-21,16,19,,,
Israel,2021-01-21,20,29,14.2,2.5,
Israel,2021-01-21,30,39,18.2,4.2,
Israel,2021-01-21,40,49,35.5,6.7,
Israel,2021-01-21,5,11,,,
Israel,2021-01-21,50,59,55.0,11.0,
