location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Portugal,2021-05-07,0,4,0.0,0.0,0.0
Portugal,2021-05-07,10,14,0.0,0.0,0.0
Portugal,2021-05-07,15,17,0.19,0.1,0.0
Portugal,2021-05-07,18,24,4.4,1.73,0.0
Portugal,2021-05-07,25,49,11.68,4.64,0.0
Portugal,2021-05-07,5,9,0.0,0.0,0.0
Portugal,2021-05-07,50,59,18.33,4.92,0.0
Portugal,2021-05-07,60,69,59.37,7.27,0.0
Portugal,2021-05-07,70,79,90.69,23.34,0.0
Portugal,2021-05-07,80,,94.77,87.65,0.0
Portugal,2021-08-06,0,4,0.0,0.0,0.0
Portugal,2021-08-06,10,14,0.32,0.06,0.0
Portugal,2021-08-06,15,17,2.88,1.04,0.0
Portugal,2021-08-06,18,24,34.83,19.8,0.0
Portugal,2021-08-06,25,49,79.69,62.82,0.0
Portugal,2021-08-06,5,9,0.0,0.0,0.0
Portugal,2021-08-06,50,59,94.83,88.8,0.0
Portugal,2021-08-06,60,69,101.11,94.99,0.0
Portugal,2021-08-06,70,79,104.72,100.79,0.0
Portugal,2021-08-06,80,,101.59,97.76,0.0
Portugal,2021-08-13,0,4,0.0,0.0,0.0
Portugal,2021-08-13,10,14,0.71,0.06,0.0
Portugal,2021-08-13,15,17,46.9,1.17,0.0
Portugal,2021-08-13,18,24,55.23,30.47,0.0
Portugal,2021-08-13,25,49,83.58,69.92,0.0
Portugal,2021-08-13,5,9,0.0,0.0,0.0
Portugal,2021-08-13,50,59,95.82,90.12,0.0
Portugal,2021-08-13,60,69,101.61,95.61,0.0
Portugal,2021-08-13,70,79,105.07,101.13,0.0
Portugal,2021-08-13,80,,101.89,98.01,0.0
Portugal,2021-09-03,0,4,0.0,0.0,0.0
Portugal,2021-09-03,10,14,46.42,0.59,0.0
Portugal,2021-09-03,15,17,85.09,36.51,0.0
Portugal,2021-09-03,18,24,87.24,58.74,0.0
Portugal,2021-09-03,25,49,92.07,79.06,0.0
Portugal,2021-09-03,5,9,0.0,0.0,0.0
Portugal,2021-09-03,50,59,98.35,91.65,0.0
Portugal,2021-09-03,60,69,102.91,96.27,0.0
Portugal,2021-09-03,70,79,106.06,101.58,0.0
Portugal,2021-09-03,80,,102.71,98.45,0.0
Portugal,2021-11-19,0,4,0.0,0.0,0.0
Portugal,2021-11-19,10,14,54.1,47.14,0.01
Portugal,2021-11-19,15,17,91.88,81.8,0.05
Portugal,2021-11-19,18,24,94.9,84.05,0.34
Portugal,2021-11-19,25,49,95.85,86.78,1.03
Portugal,2021-11-19,5,9,0.01,0.0,0.0
Portugal,2021-11-19,50,59,99.63,93.49,1.32
Portugal,2021-11-19,60,69,103.73,97.81,4.83
Portugal,2021-11-19,70,79,106.73,102.8,21.91
Portugal,2021-11-19,80,,103.37,99.4,68.61
Portugal,2021-12-17,0,4,0.0,0.0,0.0
Portugal,2021-12-17,10,14,70.38,48.37,0.03
Portugal,2021-12-17,15,17,93.33,82.67,0.12
Portugal,2021-12-17,18,24,96.91,85.28,2.7
Portugal,2021-12-17,25,49,97.05,87.59,6.76
Portugal,2021-12-17,5,9,5.24,0.01,0.0
Portugal,2021-12-17,50,59,100.08,93.78,14.87
Portugal,2021-12-17,60,69,104.04,98.08,43.37
Portugal,2021-12-17,70,79,107.01,103.05,83.66
Portugal,2021-12-17,80,,103.61,99.64,86.52
