date,total_vaccinations,people_fully_vaccinated,people_vaccinated,vaccine,location,source_url,total_boosters
2021-02-15,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-02-16,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-02-17,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-02-18,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-02-19,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-02-20,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-02-21,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-02-22,20,0,20,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-02-23,2879,0,2879,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-02-24,6908,0,6908,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-02-25,17500,0,17500,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-02-26,25000,0,25000,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-02-27,30000,0,30000,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-02-28,31894,0,31894,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-03-01,33702,0,33702,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-03-02,41907,0,41907,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-03-03,50840,0,50840,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-03-04,61008,0,61008,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-03-05,71867,0,71867,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-03-06,76940,0,76940,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-03-07,81345,0,81345,Pfizer/BioNTech,Australia,https://covidlive.com.au/vaccinations,
2021-03-08,86369,0,86369,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-09,94908,0,94908,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-10,106200,0,106200,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-11,125000,0,125000,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-12,135103,0,135103,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-13,159294,0,159294,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-14,162551,0,162551,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-15,164781,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-16,182437,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-17,203557,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-18,226057,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-19,240754,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-20,253831,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-21,257019,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-22,282184,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-23,307525,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-24,355254,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-25,408410,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-26,460155,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-27,506465,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-28,511520,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-29,541761,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-30,597523,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-03-31,670349,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-01,744328,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-02,823611,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-03,828416,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-04,843182,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-05,844309,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-06,854983,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-07,920334,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-08,996145,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-09,1077511,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-10,1138866,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-11,1166568,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-12,1178302,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-13,1234681,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-14,1295672,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-15,1359665,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-16,1420577,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-17,1474558,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-18,1496912,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-19,1586556,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-20,1653286,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-21,1718107,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-22,1785338,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-23,1855601,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-24,1914047,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-25,1934077,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-26,1937485,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-27,1969337,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-28,2029544,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-29,2112285,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-04-30,2179544,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-01,2234844,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-02,2254074,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-03,2260615,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-04,2316969,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
2021-05-05,2396314,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/vaccinations,
