date,people_vaccinated,people_fully_vaccinated,total_boosters,vaccine,total_vaccinations,source_url,location
2020-12-02,0,0,0,Pfizer/BioNTech,0,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-03,0,0,0,Pfizer/BioNTech,0,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-04,0,0,0,Pfizer/BioNTech,0,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-05,0,0,0,Pfizer/BioNTech,0,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-06,0,0,0,Pfizer/BioNTech,0,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-07,0,0,0,Pfizer/BioNTech,0,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-08,5,0,0,Pfizer/BioNTech,5,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-09,6,0,0,Pfizer/BioNTech,6,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-10,7,0,0,Pfizer/BioNTech,7,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-11,11,0,0,Pfizer/BioNTech,11,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-12,11,0,0,Pfizer/BioNTech,11,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-13,11,0,0,Pfizer/BioNTech,11,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-14,11,0,0,Pfizer/BioNTech,11,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-15,13,0,0,Pfizer/BioNTech,13,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-16,18,0,0,Pfizer/BioNTech,18,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-17,25,0,0,Pfizer/BioNTech,25,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-18,40,0,0,Pfizer/BioNTech,40,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-19,45,0,0,Pfizer/BioNTech,45,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-20,52,0,0,Pfizer/BioNTech,52,https://github.com/folkehelseinstituttet/surveillance_data,Norway
2020-12-21,65,0,0,Pfizer/BioNTech,65,https://github.com/folkehelseinstituttet/surveillance_data,Norway
