date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,vaccine,location,source_url
2020-12-27,6199,6199,,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2020-12-28,7883,7883,,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2020-12-29,9208,9208,,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2020-12-30,9630,9630,,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2020-12-31,11488,11488,,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-01,11639,11639,,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-02,12043,12043,,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-03,12599,12599,1,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-04,13690,13690,1,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-05,16236,16236,1,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-06,21629,21628,2,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-07,27106,27105,2,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-08,30372,30370,3,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-09,30626,30624,3,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-10,30627,30625,3,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-11,31111,31109,3,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-12,32994,32992,3,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-13,37732,37728,5,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-14,44480,44475,6,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-15,49371,49218,154,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-16,49696,49543,154,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-17,49700,49546,155,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-18,49909,49589,321,,Pfizer/BioNTech,Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-19,52098,50133,1968,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-20,57092,51324,5776,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-21,61871,52613,9267,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-22,64054,53801,10263,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-23,64775,54032,10753,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-24,64927,54049,10888,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-25,64935,54052,10893,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-26,66770,54133,12647,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-27,71891,54398,17506,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-28,78216,54921,23316,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-29,82818,55469,27370,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-30,82935,55480,27476,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-01-31,82938,55481,27478,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-01,83005,55504,27522,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-02,84124,55523,28622,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-03,88980,55708,33295,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-04,96439,56318,40149,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-05,102134,56682,45483,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-06,102737,56710,46058,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-07,102737,56710,46058,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-08,103137,57109,46059,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-09,103257,57197,46091,,"Moderna, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-10,106478,59691,46819,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-11,115263,66605,48690,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-12,123999,73535,50498,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-13,124901,74246,50689,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-14,124934,74263,50705,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-15,125018,74339,50713,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-16,126150,75394,50790,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-17,131728,80342,51422,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-18,140829,88674,52192,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-19,147611,94848,52800,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-20,150154,97373,52818,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-21,150155,97373,52819,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
2021-02-22,150634,97848,52823,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Slovenia,https://covid-19.sledilnik.org/sl/stats
